concepto,descripcion,concept,source
ablación,"La ablación (latín: ablatio - eliminación) es la eliminación o destrucción de algo de un objeto por vaporización, astillado, procesos erosivos o por otros medios.",ablation,wikipedia.org
prueba a/b,"Las pruebas A/B (también conocidas como pruebas de deseos, pruebas de división o prueba dividida) son un método de investigación de experiencia del usuario.",a/b testing,wikipedia.org
funcion de activacion,La función de activación de un nodo en una red neuronal artificial es una función que calcula la salida del nodo basado en las entradas individuales y sus pesos.,activation function,wikipedia.org
aprendizaje activo,"El aprendizaje activo es ""un método de aprendizaje en el que los estudiantes participan de manera activa o experimentalmente en el proceso de aprendizaje y donde hay diferentes niveles de aprendizaje activo, dependiendo de la participación de los estudiantes.",active learning,wikipedia.org
adagrad,El descenso de gradiente estocástico (a menudo abreviado SGD) es un método aniterativo para optimizar una función objetivo con propiedades de suavidad adecuadas,adagrad,wikipedia.org
deteccion de anomalias,"En el análisis de datos, la detección de anomalías (también denominada detección atípica y, a veces, como detección de novedad) generalmente se entiende como la identificación de elementos, eventos u observaciones raros que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal.",anomaly detection,wikipedia.org
atención,Atención o enfoque es la concentración de conciencia en algún fenómeno con la exclusión de otros estímulos.,attention,wikipedia.org
realidad aumentada,La realidad aumentada (AR) es una experiencia interactiva que combina el contenido 3D del mundo real y generado por computadora.,augmented reality,wikipedia.org
autoencoder,Un autoencoder es un tipo de red neuronal artificial utilizada para aprender codificaciones eficientes de datos no etiquetados (aprendizaje no supervisado).,autoencoder,wikipedia.org
sesgo de automatización,"El sesgo de automatización es la propensión a los humanos a favorecer las sugerencias de los sistemas automatizados de toma de decisiones e ignorar la información contradictoria hecha sin automatización, incluso si es correcta.",automation bias,wikipedia.org
backpropagation,"En el aprendizaje automático, Backpropagation es un método de estimación de gradiente comúnmente utilizado para capacitar a una red neuronal para calcular sus actualizaciones de parámetros.",backpropagation,wikipedia.org
bolsa de palabras,"El modelo de la bolsa de palabras (Bow) es un modelo de texto que utiliza una colección desordenada (una ""bolsa"") de palabras.",bag of words,wikipedia.org
normalización por lotes,La normalización por lotes (también conocida como norma por lotes) es un método utilizado para hacer que el entrenamiento de las redes neuronales artificiales sea más rápida y estable a través de la normalización de las entradas de las capas mediante la recentimiento y el reescalado.,batch normalization,wikipedia.org
red neuronal bayesiana,"En el aprendizaje automático, una red neuronal (también red neuronal artificial o red neuronal, ANN o NN abreviada) es un modelo inspirado en la estructura y función de las redes neuronales biológicas en los cerebros de los animales.",bayesian neural network,wikipedia.org
optimización bayesiana,"Optimización bayesiana es una estrategia de diseño secuencial para la optimización global de las funciones de caja negra, que no asume ninguna forma funcional.",bayesian optimization,wikipedia.org
clasificación binaria,La clasificación binaria es la tarea de clasificar los elementos de un conjunto en uno de los dos grupos (cada uno llamado clase).,binary classification,wikipedia.org
caja delantera,"En la geometría, el cuadro delimitador mínimo o el cuadro delimitador más pequeño (también conocido como la caja mínima de encerrado o la caja de encierra más pequeña) para un conjunto de puntos en las dimensiones N es el cuadro con la medida más pequeña (área, volumen o hipervolumen en dimensiones más altas) dentro de los cuales se encuentran todos los puntos.",bounding box,wikipedia.org
bulto,Una tienda de cubos es un negocio que permite el juego basado en los precios de las acciones o productos básicos.,bucketing,wikipedia.org
datos categóricos,"En estadísticas, una variable categórica (también llamada variable cualitativa) es una variable que puede asumir uno de un número limitado, y generalmente fijo, de valores posibles, asignando a cada individuo u otra unidad de observación a un grupo o categoría nominal particular sobre la base de alguna propiedad cualitativa.",categorical data,wikipedia.org
centroide,"En matemáticas y física, el centroide, también conocido como centro geométrico o centro de figura, de una figura plana o figura sólida es la posición media aritmética de todos los puntos de la figura.",centroid,wikipedia.org
cadena de indemnización de pensamiento,La ingeniería rápida es el proceso de estructuración o elaboración de un orden para producir el mejor resultado posible a partir de un modelo de inteligencia artificial (IA) generativa.,chain of thought prompting,wikipedia.org
filtrado colaborativo,"El filtrado colaborativo (CF) es, además del filtrado basado en el contenido, una de las dos técnicas principales utilizadas por los sistemas de recomendación.",collaborative filtering,wikipedia.org
drift de concepto,"En análisis predictivo, ciencia de datos, aprendizaje automático y campos relacionados, la deriva conceptual o la deriva es una evolución de los datos que invalida el modelo de datos.",concept drift,wikipedia.org
confabulación,"Confabulación es un error de memoria que consiste en la producción de recuerdos fabricados, distorsionados o malinterpretados sobre uno mismo o el mundo.",confabulation,wikipedia.org
sesgo de confirmación,"El sesgo de confirmación (también el sesgo confirmatorio, el sesgo de la letra [A] o el sesgo de congenante) es la tendencia a buscar, interpretar, favorecer y recordar información que confirme o respalde las creencias o valores anteriores de uno.",confirmation bias,wikipedia.org
matriz de confusión,"En el campo del aprendizaje automático y específicamente el problema de la clasificación estadística, una matriz de confusión, también conocida como matriz de error, es un diseño de tabla específico que permite la visualización del rendimiento de un algoritmo, típicamente un aprendizaje supervisado; En el aprendizaje no supervisado, generalmente se llama matriz de correspondencia.",confusion matrix,wikipedia.org
muestreo de conveniencia,"El muestreo de conveniencia (también conocido como muestreo de agarre, muestreo accidental o muestreo de oportunidades) es un tipo de muestreo no probable que implica la muestra que se extrae de esa parte de la población que está cerca de la mano.",convenience sampling,wikipedia.org
función convexa,"En matemáticas, una función de valor real se llama convexo si el segmento de línea entre dos puntos distintos en la gráfica de la función se encuentra arriba o en el gráfico entre los dos puntos.",convex function,wikipedia.org
optimización convexa,"La optimización convexa es un subcampo de optimización matemática que estudia el problema de minimizar las funciones convexas sobre los conjuntos convexos (o, de manera equivalente, maximizar las funciones cóncavas sobre conjuntos convexos).",convex optimization,wikipedia.org
conjunto convexo,"En geometría, un conjunto de puntos es convexo si contiene cada segmento de línea entre dos puntos en el conjunto.",convex set,wikipedia.org
convolución,"En Matemáticas (en particular, análisis funcional), Convolutionis una operación matemática en dos funciones (F {DisplayStyle F} y G {DisplayStyle G}) que produce una tercera función (F ∗ G {DisplayStyle f*g}).",convolution,wikipedia.org
capa convolucional,"En las redes neuronales artificiales, una capa convolucional es un tipo de capa de red que aplica una operación de convolución a la entrada.",convolutional layer,wikipedia.org
red neuronal convolucional,Una red neuronal convolucional (CNN) es un tipo regularizado de red neuronal de avance que aprende las características por sí misma a través de la optimización del filtro (o núcleo).,convolutional neural network,wikipedia.org
flor de choque,"La ambigüedad sintáctica, también conocida como ambigüedad estructural, anfibolia o anfibología, se caracteriza por el potencial de que una oración produzca múltiples interpretaciones debido a su sintaxis ambigua.",crash blossom,wikipedia.org
entropía,"La teoría de la información en información, la entropía cruzada entre dos distribuciones de probabilidad P {DisplayStyle P} y Q {DisplayStyle Q}, en el mismo conjunto de eventos subyacentes, mide el número promedio de bits necesarios para identificar un evento dibujado del conjunto cuando el esquema de codificación utilizado para el conjunto está optimizado para una distribución de distribución Q {PlayStyle Q}, en lugar del verdadero esquema de codificación P}.",cross entropy,wikipedia.org
análisis de datos,"El análisis de datos es el proceso de inspección, limpieza, transformación y modelado de datos con el objetivo de descubrir información útil, informar conclusiones y apoyar la toma de decisiones.",data analysis,wikipedia.org
aumento de datos,Aumento de datos es una técnica estadística que permite una estimación de máxima probabilidad a partir de datos incompletos.,data augmentation,wikipedia.org
paralelismo de datos,Data parallelism is parallelization across multiple processors in parallel computing environments.,data parallelism,wikipedia.org
límite de decisión,"En un problema de clasificación estadística con dos clases, un límite de decisión o una superficie de decisión es una hipersuencia que divide el espacio vectorial subyacente en dos conjuntos, uno para cada clase.",decision boundary,wikipedia.org
árbol de decisión,"Un árbol de decisión es una estructura de partición recursiva de apoyo a la decisión que utiliza un modelo de decisiones similar a un árbol y sus posibles consecuencias, incluidos los resultados del evento casual, los costos de recursos y la utilidad.",decision tree,wikipedia.org
red neuronal profunda,"El aprendizaje profundo es un subconjunto de aprendizaje automático que se centra en utilizar redes neuronales para realizar tareas como clasificación, regresión y aprendizaje de representación.",deep neural network,wikipedia.org
privacidad diferencial,La privacidad diferencial (DP) es un marco matemáticamente riguroso para liberar información estadística sobre conjuntos de datos al tiempo que protege la privacidad de los sujetos de datos individuales.,differential privacy,wikipedia.org
reducción de dimensión,"La reducción de la dimensionalidad, o la reducción de la dimensión, es la transformación de datos de un espacio de alta dimensión en un espacio de baja dimensión para que la representación de baja dimensión retenga algunas propiedades significativas de los datos originales, idealmente cerca de su dimensión intrínseca.",dimension reduction,wikipedia.org
dimensiones,"En física y matemáticas, la dimensión de un espacio matemático (u objeto) se define informalmente como el número mínimo de coordenadas necesarias para especificar cualquier punto dentro.",dimensions,wikipedia.org
modelo discriminativo,"Los modelos discriminatorios, también denominados modelos condicionales, son una clase de modelos utilizados con frecuencia para la clasificación.",discriminative model,wikipedia.org
discriminado,"En la computación, un discriminador es un campo de caracteres diseñado para separar un cierto elemento de otros del mismo identificador.",discriminator,wikipedia.org
impacto dispar,"El impacto dispar en la ley de los Estados Unidos se refiere a prácticas en empleo, vivienda y otras áreas que afectan negativamente a un grupo de personas de una característica protegida más que otra, a pesar de que las reglas aplicadas por empleadores o propietarios son formalmente neutrales.",disparate impact,wikipedia.org
descendente,"En el procesamiento de señales digitales, la reducción de muestras, la compresión y la decimación son términos asociados con el proceso de remuestreo en un sistema de procesamiento de señal digital de múltiples tasas.",downsampling,wikipedia.org
modelo dinámico,Un modelo matemático es una descripción abstracta de un sistema concreto que utiliza conceptos y lenguaje matemáticos.,dynamic model,wikipedia.org
parada temprana,"En el aprendizaje automático, la detención temprana es una forma de regularización utilizada para evitar el sobreajuste al entrenar un modelo con un método aniterativo, como el descenso de gradiente.",early stopping,wikipedia.org
distancia de edición,"En lingüística computacional e informática, la distancia de edición es una métrica de cadena, i.",edit distance,wikipedia.org
incrustación de espacio,"Un espacio latente, también conocido como espacio de características latentes o espacio de incrustación, es una incrustación de un conjunto de elementos dentro de un colector en el que los elementos que se asemejan entre sí se colocan más cerca uno del otro.",embedding space,wikipedia.org
entropía,Collective inteligencia de inteligencia de inteligencia a ser organizada por parte de la criticidad mentalidad de mentalidad de transición basada en transicióngente,entropy,wikipedia.org
probabilidades igualadas,"Las probabilidades igualadas, también conocidas como la igualdad de precisión del procedimiento condicional y el maltrato dispar, es una medida de equidad en el aprendizaje automático.",equalized odds,wikipedia.org
evaluación,"En uso común, la evaluación es una determinación sistemática y evaluación del mérito, valor e importancia de un sujeto, utilizando criterios regidos por un conjunto de estándares.",evaluation,wikipedia.org
problema de gradiente explosivo,"En el aprendizaje automático, el problema de gradiente de fuga es el problema de las magnitudes de gradiente muy divergentes entre las capas anteriores y posteriores que se encuentran al entrenar redes neuronales con backpropagation.",exploding gradient problem,wikipedia.org
tasa falsa negativa,Diagrama de un clasificador binario que separa un conjunto de muestras en valores positivos y negativos.,false negative rate,wikipedia.org
ingeniería de características,La ingeniería de características es un paso de preprocesamiento en el aprendizaje automático supervisado y el modelado estadístico que transforma los datos sin procesar en un conjunto más efectivo de entradas.,feature engineering,wikipedia.org
vector de características,"En el aprendizaje automático y el reconocimiento de patrones, una característica es una propiedad medible y característica de un conjunto de datos.",feature vector,wikipedia.org
caracterización,La ingeniería de características es un paso de preprocesamiento en el aprendizaje automático supervisado y el modelado estadístico que transforma los datos sin procesar en un conjunto más efectivo de entradas.,featurization,wikipedia.org
aprendizaje federado,"El aprendizaje federado (también conocido como aprendizaje colaborativo) es una técnica de aprendizaje automático en un entorno donde múltiples entidades (a menudo llamadas clientes) capacitan en colaboración un modelo mientras mantienen sus datos descentralizados, en lugar de almacenarse centralmente.",federated learning,wikipedia.org
bucle de retroalimentación,Collective inteligencia de inteligencia de inteligencia a ser organizada por parte de la criticidad mentalidad de mentalidad de transición basada en transicióngente,feedback loop,wikipedia.org
