Concepto,Descripción
Estadística Descriptiva,Rama de la estadística que resume y describe características de un conjunto de datos.
Estadística Inferencial,Rama de la estadística que utiliza muestras para hacer inferencias sobre una población.
Población,Conjunto completo de elementos o individuos bajo estudio estadístico.
Muestra,Subconjunto representativo extraído de una población para análisis.
Media Aritmética,Promedio aritmético de un conjunto de números.
Mediana,Valor central de un conjunto de datos ordenados.
Moda,Valor que aparece con mayor frecuencia en un conjunto de datos.
Varianza,Medida de dispersión que indica la variabilidad de los datos respecto a la media.
Desviación Estándar,"Raíz cuadrada de la varianza, indica la dispersión en la misma unidad que los datos."
Coeficiente de Variación,"Relación entre la desviación estándar y la media, expresada como porcentaje."
Distribución Normal,"Distribución de probabilidad simétrica y en forma de campana, fundamental en estadística."
Distribución Binomial,Distribución que modela el número de éxitos en una serie de ensayos independientes.
Distribución de Poisson,Distribución que describe la probabilidad de un número dado de eventos en un intervalo.
Distribución t-Student,Distribución utilizada para análisis de muestras pequeñas con varianza desconocida.
Distribución Chi-Cuadrado,Distribución usada en pruebas de bondad de ajuste y análisis de independencia.
Distribución Exponencial,Distribución que modela tiempos entre eventos en un proceso continuo.
Intervalo de Confianza,Rango de valores dentro del cual se espera que un parámetro poblacional se encuentre.
Prueba de Hipótesis,Método estadístico para determinar si una afirmación sobre un parámetro es plausible.
Error Tipo I,Error al rechazar una hipótesis nula verdadera.
Error Tipo II,Error al no rechazar una hipótesis nula falsa.
Valor p,Medida de la evidencia contra la hipótesis nula en una prueba estadística.
Nivel de Significancia,Nivel máximo de probabilidad de cometer un error tipo I permitido en un análisis.
Regresión Lineal,Modelo estadístico que relaciona una variable dependiente con una independiente.
Regresión Múltiple,Extensión de la regresión lineal para múltiples variables independientes.
Correlación,Medida de la relación lineal entre dos variables.
Coeficiente de Correlación de Pearson,Indicador de la fuerza y dirección de la relación lineal entre dos variables.
Análisis de Varianza (ANOVA),Técnica para comparar las medias de tres o más grupos.
Prueba t de Student,Prueba para comparar medias entre dos grupos con varianza desconocida.
Prueba Chi-Cuadrado,Prueba para analizar asociaciones entre variables categóricas.
Prueba de Kolmogorov-Smirnov,Prueba para determinar si una muestra proviene de una distribución específica.
Prueba de Mann-Whitney,Prueba no paramétrica para comparar dos grupos independientes.
Prueba de Wilcoxon,Prueba no paramétrica para comparar datos pareados o relacionados.
Prueba de Kruskal-Wallis,Prueba para comparar más de dos grupos independientes en datos no paramétricos.
Prueba de Friedman,Prueba para comparar varias muestras relacionadas en datos no paramétricos.
Bootstraping,Método para estimar propiedades de una población generando muestras repetitivas.
Muestreo Aleatorio,Método de selección donde cada elemento de la población tiene igual probabilidad de ser elegido.
Muestreo Estratificado,Método de selección donde la población se divide en estratos homogéneos antes del muestreo.
Sesgo de Muestra,Error sistemático que ocurre cuando una muestra no representa adecuadamente a la población.
Histogramas,Gráfico que muestra la distribución de un conjunto de datos usando barras.
Boxplot,Gráfico que representa la dispersión de datos mediante cuartiles y valores atípicos.
