concepto,descripcion,Source,concept
base de datos,"Colección organizada de datos que puede ser almacenada, consultada y manipulada.",GPT,database
base de datos relacional,Tipo de base de datos que organiza datos en tablas relacionadas mediante llaves.,GPT,relational database
sql,Lenguaje estándar para consultar y manipular bases de datos relacionales.,GPT,sql
nosql,"Bases de datos que manejan datos no estructurados o semiestructurados, sin esquemas fijos.",GPT,nosql
normalización,Proceso de estructurar una base de datos para minimizar redundancias y dependencias.,GPT,normalization
desnormalización,Técnica para mejorar el rendimiento denormalizando datos estructurados.,GPT,nudorization
esquema de base de datos,Estructura organizativa que define cómo se almacenan y relacionan los datos.,GPT,database scheme
entidad relación,Modelo gráfico para representar entidades y sus relaciones en una base de datos.,GPT,entity relationship
llave primaria,Atributo o conjunto de atributos que identifican de manera única una fila en una tabla.,GPT,primary key
llave foránea,Atributo en una tabla que se relaciona con una llave primaria de otra tabla.,GPT,foreign key
índices,Estructuras que mejoran la velocidad de las consultas en una base de datos.,GPT,indices
consultas,Operaciones para recuperar datos específicos de una base de datos.,GPT,queries
join,Operación para combinar filas de dos o más tablas basadas en condiciones comunes.,GPT,join
inner join,Tipo de join que devuelve solo las filas con coincidencias en ambas tablas.,GPT,inner join
outer join,Tipo de join que incluye filas con coincidencias y aquellas sin coincidencias en una tabla.,GPT,outer join
base de datos distribuida,Base de datos cuyos datos están distribuidos en múltiples nodos o ubicaciones.,GPT,distributed database
replicación de datos,Proceso de duplicar datos en varios servidores para aumentar disponibilidad y fiabilidad.,GPT,data replication
sharding,División de una base de datos en fragmentos para manejar grandes volúmenes de datos.,GPT,sharding
consistencia de datos,Propiedad que asegura que los datos sean precisos y estén sincronizados.,GPT,data consistency
acid,Conjunto de propiedades que garantizan transacciones fiables en bases de datos.,GPT,acid
transacciones,Secuencia de operaciones que se ejecutan como una unidad para mantener la integridad de datos.,GPT,transactions
rollback,Operación que deshace una transacción no exitosa o que causa inconsistencias.,GPT,rollback
commit,Operación que guarda los cambios realizados por una transacción en la base de datos.,GPT,commit
base de datos en memoria,Base de datos optimizada para almacenar y acceder a datos directamente en la memoria ram.,GPT,memory database
base de datos en la nube,Base de datos que se almacena y gestiona en servidores en la nube.,GPT,cloud database
data lake,Repositorio de datos no estructurados o semiestructurados almacenados en su forma original.,GPT,data lake
data warehouse,Sistema para almacenar y analizar grandes cantidades de datos estructurados.,GPT,data warehouse
base de datos olap,Base de datos optimizada para consultas analíticas y procesamiento de datos históricos.,GPT,olap database
base de datos oltp,Base de datos optimizada para transacciones rápidas y frecuentes en tiempo real.,GPT,oltp database
cassandra,Base de datos distribuida diseñada para manejar grandes volúmenes de datos a escala global.,GPT,cassandra
mongodb,Base de datos nosql popular que utiliza un modelo de documentos basado en json.,GPT,mongodb
redis,"Base de datos en memoria utilizada como caché, cola de mensajes y más.",GPT,redis
mysql,Sistema de gestión de bases de datos relacional de código abierto ampliamente utilizado.,GPT,mysql
postgresql,Base de datos relacional avanzada con soporte para extensiones y alto rendimiento.,GPT,postgresql
oracle database,Base de datos empresarial con características avanzadas para aplicaciones críticas.,GPT,oracle database
microsoft sql server,Sistema de gestión de bases de datos desarrollado por microsoft con múltiples herramientas.,GPT,microsoft sql server
sqlite,"Base de datos ligera y autónoma, ideal para aplicaciones móviles y pequeñas.",GPT,sqlite
modelado de datos,Proceso de definir y organizar las estructuras de datos en una base de datos.,GPT,data modeling
consultas preparadas,Consultas parametrizadas para prevenir inyecciones sql y mejorar seguridad.,GPT,prepared consultations
seguridad en bases de datos,Conjunto de medidas para proteger bases de datos contra accesos no autorizados.,GPT,database security
auditoría de bases de datos,Proceso de registrar y supervisar las actividades en una base de datos.,GPT,database audit
big data,Conjunto de datos que son demasiado grandes o complejos para ser procesados por métodos tradicionales.,GPT,big data
hadoop,Framework de código abierto para el almacenamiento y procesamiento distribuido de grandes volúmenes de datos.,GPT,hadoop
apache spark,Herramienta de procesamiento de datos rápida y generalizada para big data.,GPT,apache spark
mapreduce,Modelo de programación para el procesamiento distribuido de grandes conjuntos de datos.,GPT,mapreduce
hdfs,Sistema de archivos distribuido diseñado para ejecutarse en hardware de bajo costo.,GPT,hdfs
nosql,Base de datos diseñada para manejar grandes volúmenes de datos no estructurados o semiestructurados.,GPT,nosql
bases de datos distribuidas,Bases de datos que permiten el almacenamiento y acceso a datos a través de múltiples nodos.,GPT,distributed databases
mongodb,Base de datos nosql diseñada para manejar datos json y consultas dinámicas.,GPT,mongodb
cassandra,Base de datos distribuida y escalable para el almacenamiento de grandes volúmenes de datos.,GPT,cassandra
apache hive,Sistema de almacenamiento de datos para hadoop que permite consultas tipo sql.,GPT,apache hive
pig latin,"Lenguaje de programación para la plataforma apache pig, usado en big data.",GPT,pig latin
streaming de datos,Transmisión continua de datos generados en tiempo real desde múltiples fuentes.,GPT,data streaming
procesamiento en batch,"Procesamiento de datos agrupados en bloques, adecuado para operaciones periódicas.",GPT,batch processing
procesamiento en tiempo real,Procesamiento de datos en tiempo real con latencias mínimas.,GPT,real -time processing
data lake,Repositorio centralizado que almacena datos estructurados y no estructurados a gran escala.,GPT,data lake
data warehouse,Sistema optimizado para consultas rápidas en datos estructurados almacenados a gran escala.,GPT,data warehouse
apache kafka,Plataforma para la transmisión y procesamiento en tiempo real de flujos de datos distribuidos.,GPT,apache kafka
flink,Sistema de procesamiento de datos en tiempo real con alta escalabilidad y flexibilidad.,GPT,flink
elasticsearch,Herramienta para búsqueda y análisis de datos basada en índices.,GPT,elasticsearch
indexación de datos,Proceso de organizar datos para permitir búsquedas rápidas y eficaces.,GPT,data indexation
machine learning en big data,Aplicación de algoritmos de aprendizaje automático en grandes volúmenes de datos.,GPT,machine learning in big data
scala,Lenguaje de programación ampliamente utilizado para trabajar con sistemas big data como apache spark.,GPT,scala
python en big data,Lenguaje popular utilizado en big data para manipulación y análisis de datos.,GPT,python in big data
etl en big data,"Proceso de extracción, transformación y carga de datos en entornos big data.",GPT,etl in big data
orquestación de datos,Coordinación de tareas y flujos de datos en sistemas distribuidos.,GPT,data orchestration
aws big data,Servicios en la nube de amazon diseñados para procesamiento y análisis de big data.,GPT,aws big data
google bigquery,Plataforma de análisis de datos de google para consultas rápidas en grandes volúmenes de datos.,GPT,google bigquery
azure data lake,Servicio de microsoft para el almacenamiento y análisis de datos no estructurados.,GPT,azure data lake
almacenamiento en nube,Uso de almacenamiento remoto para datos accesibles desde cualquier lugar con escalabilidad.,GPT,cloud storage
escalabilidad horizontal,Ampliación de recursos de un sistema agregando más nodos en lugar de aumentar la capacidad de un nodo.,GPT,horizontal scalability
redundancia de datos,Copia de seguridad de datos para prevenir la pérdida en caso de fallas.,GPT,data redundancy
alta disponibilidad,Capacidad de un sistema para estar operativo incluso en presencia de fallos de hardware o software.,GPT,high availability
zookeeper,Servicio de coordinación central para sistemas distribuidos.,GPT,zookeeper
infraestructura distribuida,Infraestructura diseñada para manejar el procesamiento y almacenamiento de datos en múltiples nodos.,GPT,distributed infrastructure
spark sql,Componente de spark para consultas estructuradas y análisis de datos.,GPT,spark sql
dataframes en spark,Estructura de datos en spark optimizada para análisis de datos tabulares.,GPT,dataframes in spark
rdds,"Resilient distributed datasets, la unidad básica de datos en spark.",GPT,rdds
clúster de procesamiento,Conjunto de computadoras interconectadas para procesar y almacenar datos distribuidos.,GPT,processing cluster
latencia en big data,Tiempo necesario para procesar una solicitud o consulta en un sistema big data.,GPT,latency in big data
análisis exploratorio en big data,Proceso de explorar y visualizar datos a gran escala para entender patrones y tendencias.,GPT,exploratory analysis in big data
agrupamiento aglomerado,Método jerárquico de agrupamiento que une elementos o grupos en función de su similitud.,GPT,agglomerate grouping
area bajo la curva de pr,Medida del rendimiento de un modelo que combina precisión y recuperación en problemas de clasificación.,GPT,area under the pr curve
area bajo la curva roc,Indicador de desempeño que mide la capacidad de un modelo para distinguir entre clases en problemas binarios.,GPT,area under the roc curve
ecuacion de bellman,Ecuación central en la programación dinámica que describe la relación recursiva en problemas de decisión.,GPT,bellman equation
sesgo de cobertura,Sesgo que surge cuando ciertos datos no están representados en la muestra analizada.,GPT,coverage bias
agrupamiento en clusteres divisivo,Método jerárquico que comienza con un grupo único y lo divide recursivamente en subgrupos.,GPT,grouping in divisive clusters
sesgo del investigador,Sesgo que ocurre cuando las expectativas del investigador influyen en los resultados del estudio.,GPT,researcher's bias
sesgo de no respuesta,Sesgo que se genera por la falta de respuestas de ciertos participantes en una encuesta o estudio.,GPT,non -response bias
precision,Proporción de predicciones correctas sobre el total de predicciones positivas hechas por un modelo.,GPT,precision
recall,Proporción de verdaderos positivos sobre el total de positivos reales en un conjunto de datos.,GPT,recall
sesgo muestral,Sesgo que ocurre cuando la muestra seleccionada no representa adecuadamente a la población objetivo.,GPT,sample bias
reduccion espacial,Proceso de reducir la dimensionalidad de los datos manteniendo la mayor cantidad de información relevante.,GPT,space reduction
submuestreo,Técnica para reducir el tamaño de un conjunto de datos seleccionando una muestra más pequeña representativa.,GPT,subsamore
rango de tensor,Número de dimensiones linealmente independientes en un tensor.,GPT,tensor range
tasa de falsos positivos,Proporción de negativos falsamente clasificados como positivos por un modelo de clasificación.,GPT,false positives rate
tasa de verdaderos positivos,Proporción de positivos correctamente identificados sobre el total de positivos reales.,GPT,true positive rate
estadistica inferencial,Rama de la estadística que utiliza muestras para hacer inferencias sobre una población.,GPT,inferential statistics
prueba de hipotesis,Procedimiento estadístico para determinar si una hipótesis es consistente con los datos observados.,GPT,hypothesis test
series de tiempo,Conjunto de observaciones tomadas secuencialmente en el tiempo.,GPT,time series
redes neuronales recurrentes,Tipo de red neuronal diseñada para procesar secuencias de datos y conservar información de estados anteriores.,GPT,recurrent neural networks
redes neuronales convolucionales,"Tipo de red neuronal optimizada para el procesamiento de datos con estructura espacial, como imágenes.",GPT,convolutional neuronal networks
hugging face,Plataforma y librería de machine learning centrada en modelos de procesamiento de lenguaje natural.,GPT,hugging face
procesamiento de senales,Disciplina que estudia cómo analizar y modificar señales para extraer información útil.,GPT,senal processing
valores atipicos,Valores que se desvían significativamente de los demás en un conjunto de datos.,GPT,atypical values
deteccion de anomalias,Proceso de identificar datos que no cumplen con patrones normales en un conjunto de datos.,GPT,anomaly detection
rango intercuartílico,Medida estadística que evalúa la dispersión de los datos dentro del rango entre el primer y el tercer cuartil.,GPT,interquartilic range
valores representativos,"Valores que resumen o representan características clave de un conjunto de datos, como medias o medianas.",GPT,representative values
