Concepto,Descripción
Limpieza de Datos,Proceso de identificar y corregir problemas en un conjunto de datos para mejorar su calidad.
Datos Faltantes,Registros que no tienen valores en ciertas columnas o campos.
Imputación de Datos,Técnica para estimar y rellenar datos faltantes basándose en valores existentes.
Eliminación de Datos Faltantes,Eliminación de filas o columnas con datos faltantes para simplificar el análisis.
Detección de Valores Atípicos,Identificación de valores que están significativamente alejados del resto de los datos.
Normalización de Datos,Transformación de valores para llevarlos a un rango específico entre 0 y 1.
Estandarización de Datos,Ajuste de datos para que tengan una media de 0 y desviación estándar de 1.
Codificación de Variables Categóricas,Conversión de datos categóricos en formatos adecuados para el análisis.
One-Hot Encoding,Codificación de categorías en columnas binarias separadas.
Label Encoding,Asignación de valores numéricos únicos a categorías.
Manejo de Valores Nulos,Identificación y tratamiento de valores que no tienen asignaciones válidas.
Transformación de Datos,Aplicación de transformaciones matemáticas para mejorar la distribución de datos.
Escalado de Características,Ajuste de escalas en los datos para facilitar comparaciones y análisis.
Filtrado de Datos,Eliminación de registros no deseados o irrelevantes en un conjunto de datos.
Eliminación de Duplicados,Identificación y eliminación de registros duplicados en un conjunto de datos.
Agrupación de Datos,Reunión de datos similares en categorías o agrupaciones lógicas.
Muestreo de Datos,Selección de una muestra representativa para reducir el tamaño de los datos.
Relleno de Datos Faltantes,Sustitución de valores faltantes utilizando estimaciones razonables.
Transformación Logarítmica,Transformación matemática para estabilizar la varianza y hacer distribuciones más normales.
Reducción de Dimensionalidad,Reducción del número de variables para simplificar modelos y análisis.
Conversión de Tipos de Datos,Cambio de formatos de datos para garantizar su compatibilidad con las herramientas utilizadas.
Revisión de Tipos de Datos,Comprobación de que los datos tienen el tipo adecuado para cada columna.
Consistencia de Datos,Asegurarse de que los datos sean coherentes en formato y contenido.
Corrección de Errores de Entrada,Corrección de errores cometidos durante la entrada de datos manual o automática.
Integración de Datos,Unificación de datos provenientes de múltiples fuentes en un solo conjunto.
Fusión de Conjuntos de Datos,Combinación de dos o más conjuntos de datos basándose en columnas comunes.
Eliminación de Columnas Irrelevantes,Eliminación de columnas que no aportan valor al análisis.
Filtrado de Filas Irrelevantes,Descartar filas que no son relevantes para el objetivo del análisis.
Interpolación de Datos,Estimación de valores faltantes utilizando métodos matemáticos como interpolación lineal.
Relleno con Promedio,Rellenar valores faltantes con el promedio de la columna correspondiente.
Relleno con Mediana,Rellenar valores faltantes con la mediana de la columna correspondiente.
Relleno con Moda,Rellenar valores faltantes con la moda de la columna correspondiente.
Identificación de Valores Extremos,Detección de valores que están fuera de un rango razonable o esperado.
Recodificación de Variables,Asignación de nuevos valores a variables para mejorar la claridad del análisis.
Depuración de Nombres de Columnas,Estandarización y corrección de nombres de columnas en un conjunto de datos.
Eliminación de Espacios en Blanco,Eliminación de espacios innecesarios en celdas de texto o nombres de columnas.
Validación de Rangos de Datos,Comprobación de que los valores de datos están dentro de rangos predefinidos.
Manejo de Datos Inconsistentes,Identificación y corrección de registros que tienen conflictos en su contenido.
Codificación de Fechas,Convertir datos de fechas en formatos consistentes para facilitar su análisis.
Verificación de Integridad de Datos,Asegurarse de que los datos estén completos y sean válidos en todas las columnas.
