concepto,descripcion,concept,source
ablación,Una técnica para evaluar la importancia de una característica o componente al eliminarla temporalmente de un modelo.,ablation,developers.google.com
prueba a/b,Una forma estadística de comparar dos (o más) técnicas: A y el B.,a/b testing,developers.google.com
chip de acelerador,Una categoría de componentes de hardware especializados diseñados para realizar cálculos clave necesarios para algoritmos de aprendizaje profundo.,accelerator chip,developers.google.com
exactitud,El número de predicciones de clasificación correctas divididas por el número total de predicciones.,accuracy,developers.google.com
acción,"En el aprendizaje de refuerzo, el mecanismo por el cual el agente pasa entre los estados del medio ambiente.",action,developers.google.com
función de activación,Una función que permite a las redes neuronales aprender relaciones no lineales (complejas) entre las características y la etiqueta.,activation function,developers.google.com
aprendizaje activo,Un enfoque de entrenamiento en el que el algoritmo elige algunos de los datos de los que aprende.,active learning,developers.google.com
adagrad,"Un sofisticado algoritmo de descenso de gradiente que reescala los gradientes de cada parámetro, dando efectivamente a cada parámetro anindependiente de aprendizaje.",adagrad,developers.google.com
agente,"En el aprendizaje de refuerzo, la entidad que utiliza una política para maximizar el rendimiento esperado obtenido de la transición entre los estados del medio ambiente.",agent,developers.google.com
agrupación aglomerativa,Ver clúster jerárquico.,agglomerative clustering,developers.google.com
detección de anomalías,El proceso de identificación de valores atípicos.,anomaly detection,developers.google.com
arkansas,Abreviatura de la realidad aumentada.,ar,developers.google.com
área bajo la curva de recuperación de precisión,Ver PR AUC (área debajo de la curva de PR).,area under the pr curve,developers.google.com
área bajo la curva roc,Ver AUC (área debajo de la curva ROC).,area under the roc curve,developers.google.com
inteligencia general artificial,"Un mecanismo no humano que demuestra una amplia gama de resolución de problemas, creatividad y adaptabilidad.",artificial general intelligence,developers.google.com
inteligencia artificial,Un programa o modelo no humano que puede resolver tareas sofisticadas.,artificial intelligence,developers.google.com
atención,Un mecanismo utilizado en una red neuronal que indica la importancia de una palabra o parte en particular de una palabra.,attention,developers.google.com
atributo,Sinónimo de función.,attribute,developers.google.com
muestreo de atributos,Una táctica para capacitar un bosque de decisión en el que cada árbol de decisión considera solo un subconjunto aleatorio de posibles características al aprender la condición.,attribute sampling,developers.google.com
auc (área debajo de la curva roc),Un número entre 0 y 1 que representa la capacidad de un modelo de clasificación binaria para separar las clases positivas de las clases negativas.,auc (area under the roc curve),developers.google.com
realidad aumentada,"Una tecnología que superpone una imagen generada por computadora en la vista de un usuario del mundo real, proporcionando así una vista compuesta.",augmented reality,developers.google.com
autoencoder,Un sistema que aprende a extraer la información más importante de la entrada.,autoencoder,developers.google.com
evaluación automática,Uso de software para juzgar la calidad de la salida de un modelo.,automatic evaluation,developers.google.com
sesgo de automatización,"Cuando un tomador de decisiones humano favorece las recomendaciones hechas por un sistema de toma de decisiones automatizado sobre la información realizada sin automatización, incluso cuando el sistema automatizado de toma de decisiones comete errores.",automation bias,developers.google.com
automl,Cualquier proceso automatizado para construir modelos de aprendizaje automático.,automl,developers.google.com
evaluación de autórmes,"Autoraters preconstruidos están disponibles, pero los mejores autoraters están ajustados específicamente a la tarea que está evaluando.",autorater evaluation,developers.google.com
modelo autorregresivo,Un modelo que infiere una predicción basada en las propias predicciones anteriores.,auto regressive model,developers.google.com
pérdida auxiliar,"Una función de pérdida, utilizada junto con la función de pérdida principal de un modelo de red neuronal, eso ayuda a acelerar el entrenamiento durante las primeras iteraciones cuando los pesos se inicializan aleatoriamente.",auxiliary loss,developers.google.com
precisión promedio en k,"Una métrica para resumir el rendimiento de un modelo en un solo mensaje que genera resultados clasificados, como una lista numerada de recomendaciones de libros.",average precision at k,developers.google.com
condición alineada por eje,"En un árbol de decisión, una condición que involucra solo una característica.",axis aligned condition,developers.google.com
backpropagation,El algoritmo que implementa el descenso de gradiente en las redes neuronales.,backpropagation,developers.google.com
bagging,Un método para entrenar un conjunto donde cada modelo constituyente entrena en un subconjunto aleatorio de ejemplos de entrenamiento muestreados con reemplazo.,bagging,developers.google.com
bolsa de palabras,"Una representación de las palabras en una frase o pasaje, independientemente del orden.",bag of words,developers.google.com
base,"Un modelo utilizado como punto de referencia para comparar qué tan bien está funcionando otro modelo (típicamente, uno más complejo).",baseline,developers.google.com
lote,El conjunto de ejemplos utilizados en una iteración de entrenamiento.,batch,developers.google.com
inferencia por lotes,"El proceso de inferir predicciones en múltiples ejemplos no etiquetados divididos en subconjuntos más pequeños (""lotes"").",batch inference,developers.google.com
normalización por lotes,Normalización de la entrada o salida de las funciones de activación en una capa oculta.,batch normalization,developers.google.com
tamaño por lotes,El número de ejemplos en un lote.,batch size,developers.google.com
red neuronal bayesiana,Una red neuronal probabilística que explica la incertidumbre en los pesos y las salidas.,bayesian neural network,developers.google.com
optimización bayesiana,Una técnica de modelo de regresión probabilística para optimizar funciones objetivas computacionalmente costosas al optimizar un sustituto que cuantifica la incertidumbre utilizando una técnica de aprendizaje bayesiana.,bayesian optimization,developers.google.com
ecuación de bellman,"En el aprendizaje de refuerzo, la siguiente identidad satisfecha por la función Q óptima: \ [q (s, a) = r (s, a) + \ gamma \ mathbb {e} _ {s '| s, a} \ max_ {a'} q (s ', a') \] reforzando los algorits de aprendizaje aplicando esta identidad para crear Q-leanding utilizando el siguiente Q (S, A) + \ Alpha \ Left [R (S, A) + \ Gamma \ DisplayStyle \ Max _ {\ Sustack {A_1}} Q (S ', A') -q (S, A) \ Right] \] Más allá del aprendizaje de refuerzo, la ecuación de Bellman tiene aplicaciones a la programación dinámica.",bellman equation,developers.google.com
bert (representaciones de codificador bidireccional de transformers),Una arquitectura modelo para la representación de texto.,bert (bidirectional encoder representations from transformers),developers.google.com
sesgo (ética/equidad),"Estereotipos, prejuicios o favoritismo hacia algunas cosas, personas o grupos sobre otras.",bias (ethics/fairness),developers.google.com
sesgo (matemáticas) o término de sesgo,Una intersección o compensación de un origen.,bias (math) or bias term,developers.google.com
bidireccional,Un término utilizado para describir un sistema que evalúa el texto que precede y sigue una sección objetivo del texto.,bidirectional,developers.google.com
modelo de idioma bidireccional,Un modelo de lenguaje que determina la probabilidad de que un tokenis dado presente en una ubicación dada en un extracto de texto basado en el texto anterior y siguiente.,bidirectional language model,developers.google.com
bigram,Un n-gram en el que n = 2.,bigram,developers.google.com
clasificación binaria,"Un tipo de tarea de clasificación que predice una de las dos clases mutuamente excluyentes: por ejemplo, los siguientes dos modelos de aprendizaje automático cada uno realiza una clasificación binaria: contrasta con la clasificación de múltiples clases.",binary classification,developers.google.com
condición binaria,"En un árbol de decisión, una condición que tiene solo dos resultados posibles, generalmente sí o no.",binary condition,developers.google.com
binning,Sinónimo de bulleting.,binning,developers.google.com
bleu (evaluación bilingüe),"Una métrica entre 0 y 1 para evaluar las traducciones de la máquina, por ejemplo, de español a japonés.",bleu (bilingual evaluation understudy),developers.google.com
bleurt (evaluación bilingüe de los transformadores),"Una métrica para evaluar las traducciones automáticas de un idioma a otro, particularmente hacia y desde el inglés.",bleurt (bilingual evaluation understudy from transformers),developers.google.com
impulso,"Una técnica de aprendizaje automático que combina iterativamente un conjunto de clasificadores simples y no muy precisos (denominados clasificadores ""débiles"") en un clasificador con alta precisión (un clasificador ""fuerte"") al alejar los ejemplos de que el modelo actualmente es una clasificación errónea.",boosting,developers.google.com
caja delantera,"En Animage, las coordenadas (x, y) de un rectángulo alrededor de un área de interés, como el perro en la imagen a continuación.",bounding box,developers.google.com
radiodifusión,Ampliando la forma de un operando en una operación matemática de matriz a dimensiones compatibles para esa operación.,broadcasting,developers.google.com
bulto,"Convertir una sola característica en múltiples características binarias llamadas cubos o contenedores, típicamente basado en un rango de valor.",bucketing,developers.google.com
capa de calibración,"Un ajuste posterior a la predicción, generalmente para tener en cuenta el sesgo de predicción.",calibration layer,developers.google.com
generación candidata,El conjunto inicial de recomendaciones elegidas por un sistema de recomendación.,candidate generation,developers.google.com
muestreo candidato,"Una optimización del tiempo de entrenamiento que calcula una probabilidad para todas las etiquetas positivas, utilizando, por ejemplo, Softmax, pero solo para una muestra aleatoria de etiquetas negativas.",candidate sampling,developers.google.com
datos categóricos,Características que tienen un conjunto específico de valores posibles.,categorical data,developers.google.com
modelo de idioma causal,Sinónimo de modelo de lenguaje unidireccional.,causal language model,developers.google.com
centroide,El centro de un clúster determinado por un algoritmo K-means o K-mediano.,centroid,developers.google.com
clúster basado en centroides,Una categoría de algoritmos de agrupación que organiza datos en grupos no jerárquicos.,centroid based clustering,developers.google.com
cadena de indemnización de pensamiento,"Una técnica de ingeniería rápida que fomenta un modelo de lenguaje grande (LLM) a explicar el razonamiento, paso a paso.",chain of thought prompting,developers.google.com
charlar,"El contenido de un diálogo de ida y vuelta con un sistema ML, típicamente un modelo de lenguaje grande.",chat,developers.google.com
control,"Los datos que capturan el estado de los parámetros de un modelo, ya sea durante la capacitación o después de que se complete el entrenamiento.",checkpoint,developers.google.com
clase,Una categoría a la que puede pertenecer una etiqueta.,class,developers.google.com
modelo de clasificación,Un modelo cuya predicción es una clase.,classification model,developers.google.com
umbral de clasificación,"En una clasificación binaria, un número entre 0 y 1 que convierte la salida sin procesar de un modelo de regresión logística en una predicción de la clase positiva o la clase negativa.",classification threshold,developers.google.com
clasificador,Un término informal para un modelo de clasificación.,classifier,developers.google.com
conjunto de datos desequilibrado de clase,Un conjunto de datos para un problema de clasificación en el que el número total de etiquetas de cada clase difiere significativamente.,class imbalanced dataset,developers.google.com
recorte,"Una técnica para manejar valores atípicos haciendo uno o ambos a continuación: por ejemplo, supongamos que <0.",clipping,developers.google.com
tpu en la nube,Un acelerador de hardware especializado diseñado para acelerar las cargas de trabajo de aprendizaje automático en Google Cloud.,cloud tpu,developers.google.com
agrupación,"Agrupación de ejemplos relacionados, particularmente durante el aprendizaje no supervisado.",clustering,developers.google.com
adaptación,Cuando las neuronas predicen los patrones en los datos de entrenamiento al depender casi exclusivamente de salidas de otras neuronas específicas en lugar de confiar en el comportamiento de la red en su conjunto.,co adaptation,developers.google.com
filtrado colaborativo,Hacer predicciones sobre los intereses de un usuario en función de los intereses de muchos otros usuarios.,collaborative filtering,developers.google.com
drift de concepto,Un cambio en la relación entre las características y la etiqueta.,concept drift,developers.google.com
condición,"En un árbol de decisión, cualquier nodo que evalúe una expresión.",condition,developers.google.com
confabulación,Sinónimo de alucinación.,confabulation,developers.google.com
sesgo de confirmación,"La tendencia a buscar, interpretar, favorecer y recordar la información de una manera que confirme las creencias o hipótesis preexistentes de uno.",confirmation bias,developers.google.com
matriz de confusión,Una tabla NXN que resume el número de predicciones correctas e incorrectas que hizo un modelo de clasificación.,confusion matrix,developers.google.com
análisis de la circunscripción,"Dividir una oración en estructuras gramaticales más pequeñas (""componentes"").",constituency parsing,developers.google.com
lenguaje contextualizado incrustación,"Una incrustación que se acerca a las palabras y frases de ""comprender"" de manera que los hablantes humanos fluidos pueden.",contextualized language embedding,developers.google.com
ventana de contexto,El número de tokens que un modelo puede procesar en un aviso dado.,context window,developers.google.com
característica continua,"Una característica de punto flotante con un rango de valores posibles, como temperatura o peso.",continuous feature,developers.google.com
muestreo de conveniencia,Uso de un conjunto de datos que no se ha reunido científicamente para ejecutar experimentos rápidos.,convenience sampling,developers.google.com
convergencia,Un estado alcanzado cuando los valores de pérdida cambian muy poco o nada con cada iteración.,convergence,developers.google.com
función convexa,Una función que la región sobre la gráfica de la función es un conjunto convexo.,convex function,developers.google.com
optimización convexa,El proceso de utilizar técnicas matemáticas como el descenso de gradiente para encontrar el mínimo de una función convexa.,convex optimization,developers.google.com
conjunto convexo,Un subconjunto de espacio euclidiano de tal manera que una línea dibujada entre dos puntos en el subconjunto permanece completamente dentro del subconjunto.,convex set,developers.google.com
circunvolución,"En matemáticas, casualmente hablando, una mezcla de dos funciones.",convolution,developers.google.com
filtro convolucional,Uno de los dos actores en una operación convolucional.,convolutional filter,developers.google.com
capa convolucional,Una capa de una red neuronal profunda en la que pasa un filtro convolucional a lo largo de la matriz de Aninput.,convolutional layer,developers.google.com
red neuronal convolucional,Una red neuronal en la que al menos una capa es una capa convolucional.,convolutional neural network,developers.google.com
operación convolucional,"La siguiente operación matemática de dos pasos: por ejemplo, considere la siguiente matriz de entrada 5x5: ahora imagine el siguiente filtro convolucional 2x2: cada operación convolucional incluye un solo porta de 2x2 de la matriz de entrada.",convolutional operation,developers.google.com
costo,Sinónimo de pérdida.,cost,developers.google.com
entrenamiento,Un enfoque de aprendizaje semi-supervisado es particularmente útil cuando todas las siguientes condiciones son verdaderas: la capacitación esencialmente amplifica las señales independientes en una señal más fuerte.,co training,developers.google.com
justicia contrafactual,"Una métrica de equidad que verifica si un modelo de clasificación produce el mismo resultado para un individuo que para otro individuo que es idéntico al primero, excepto con respecto a uno o más atributos sensibles.",counterfactual fairness,developers.google.com
sesgo de cobertura,Ver sesgo de selección.,coverage bias,developers.google.com
flor de choque,Una oración o frase con un significado ambiguo.,crash blossom,developers.google.com
crítico,Sinónimo de profundo Q-Network.,critic,developers.google.com
entropía,Una generalización de la pérdida de registro a problemas de clasificación de múltiples clases.,cross entropy,developers.google.com
validación cruzada,Un mecanismo para estimar qué tan bien un modelo se generalizaría a los nuevos datos probando el modelo con uno o más subconjuntos de datos no superpuestos retenidos del conjunto de capacitación.,cross validation,developers.google.com
función de distribución acumulativa (cdf),Una función que define la frecuencia de muestras menores o igual a un valor objetivo.,cumulative distribution function (cdf),developers.google.com
análisis de datos,"Obtener una comprensión de los datos considerando muestras, medición y visualización.",data analysis,developers.google.com
aumento de datos,Aumentando artificialmente el rango y el número de ejemplos de capacitación transformando ejemplos existentes para crear ejemplos adicionales.,data augmentation,developers.google.com
marco de datos,Un tipo de datos PANDAS popular para representar conjuntos de datos en la memoria.,dataframe,developers.google.com
paralelismo de datos,Una forma de escalar el entrenamiento o la inferencia que replica un modelo completo en múltiples dispositivos y luego pasa un subconjunto de los datos de entrada a cada dispositivo.,data parallelism,developers.google.com
api de conjunto de datos (tf.data),Una API TensorFlow de alto nivel para leer datos y transformarlo en un formulario que requiere un algoritmo de aprendizaje automático.,dataset api (tf.data),developers.google.com
conjunto de datos o conjunto de datos,"Una colección de datos sin procesar, comúnmente (pero no exclusivamente) organizado en uno de los siguientes formatos: límite de decisión.",data set or dataset,developers.google.com
límite de decisión,El separador entre clases aprendidas por un modelo en una clase binaria o problemas de clasificación de múltiples clases.,decision boundary,developers.google.com
bosque de decisión,Un modelo creado a partir de múltiples árboles de decisión.,decision forest,developers.google.com
umbral de decisión,Sinónimo de umbral de clasificación.,decision threshold,developers.google.com
árbol de decisión,Un modelo de aprendizaje supervisado compuesto por un conjunto de condiciones y hojas organizadas jerárquicamente.,decision tree,developers.google.com
descifrador,"En general, cualquier sistema ML que se convierta de una representación procesada, densa o interna a una representación más cruda, escasa o externa.",decoder,developers.google.com
modelo profundo,Una red neuronal que contiene más de una capa oculta.,deep model,developers.google.com
red neuronal profunda,Sinónimo de modelo profundo.,deep neural network,developers.google.com
deep q network (dqn),"En Q-learning, una red neuronal profunda que predice las funciones Q.",deep q network (dqn),developers.google.com
paridad demográfica,Una métrica de equidad que se satisface si los resultados de la clasificación de un modelo no dependen de un atributo sensible dado.,demographic parity,developers.google.com
renovado,Un enfoque común para el aprendizaje auto-supervisado en el que: Denoising permite el aprendizaje de ejemplos no etiquetados.,denoising,developers.google.com
característica densa,"Una característica en la que la mayoría o todos los valores son distintos de cero, típicamente un tensor de valores de punto flotante.",dense feature,developers.google.com
capa densa,Sinónimo de capa totalmente conectada.,dense layer,developers.google.com
profundidad,"La suma de lo siguiente en una red neuronal: por ejemplo, una red neuronal con cinco capas ocultas y una capa de salida tiene una profundidad de 6.",depth,developers.google.com
red neural convolucional separable en profundidad (sepcnn),"Una arquitectura de la red neuronal convolucional basada en el inicio, pero donde los módulos de inicio se reemplazan con convoluciones de profundidad separables.",depthwise separable convolutional neural network (sepcnn),developers.google.com
etiqueta derivada,Sinónimo de etiqueta proxy.,derived label,developers.google.com
dispositivo,Un término sobrecargado con las siguientes dos definiciones posibles: privacidad diferencial.,device,developers.google.com
