concepto,descripcion,source,concept
big data,"Es un concepto que hace referencia a un conjunto de procesos, tecnologías y modelos basados en el almacenamiento masivo de datos, procesamiento y transformación de los mismos en conocimiento, para anticipar lo que sucederá en un mundo complejo y con muchas interacciones",book1,big data
científico de datos,"Dentro de una organización, es el encargado de extraer conocimiento y valor de los datos, siendo capaz de descubrir relaciones ocultas y patrones entre los datos de diferentes líneas de acción o áreas funcionales; y tecnología, mediante el uso de herramientas avanzadas para el análisis de datos. son profesionales altamente cualificados que se encargan de interpretar y responder a las nuevas estrategias desde el punto de vista tecnológico y a nalítico. deben tener fuertes conocimientos de estadística, matemática e informática, al mismo tiempo, deberán adaptarse de manera sencilla a los entornos necesarios para el desarrollo de los modelos.",book1,data scientist
community manager,"Es la persona encargada de gestiona r, construir y moderar comunidades en torno a una marca en internet",book1,community manager
industria 4.0,Es la tendencia actual de automatización y el intercambio de datos dentro de las tecnologías de manufactura,book1,industry 4.0
inteligencia artificial,"Es la inteligencia exhibida por máquinas. una máquina inteligente ideal es un agente racional y flexible, que percibe su entorno y lleva a cabo acciones que maximicen sus posibilidades de éxito en algún objetivo o tarea. coloquialmente, el término ""inteligencia artificial "" se aplica cuando u na máquina imita las funciones ""cognitivas"" que los humanos asocian con otras mentes humanas, como, por ejemplo: ""aprender"" y ""resolver problemas"".",book1,artificial intelligence
fabricación aditiva,"Es un proceso por el cual un archivo 3d es convertido en un objeto físico, mediante la adición capa por capa de material. este material puede ser plástico, resina, metal, papel y muchos más. el término más comúnmente usado como sinónimo de ""fabricación aditiva"" es ""impresión 3d"".",book1,additive manufacturing
internet de las cosas,"Es un concepto que se refiere a la interconexión digital de objetos cotidianos con internet, convirtiéndose así en objetos inteligentes.",book1,internet of things
realidad aumentada,"Es el término que se usa para definir la visión de un entorno físico del mundo real, a través de un dispositivo tecnológico. este dispositivo o conjunto de dispositivos añaden información virtual a la información física ya existente. de esta manera; los elementos físicos tangibles se combinan con elementos virtuales, creando así una realidad aumentada en tiempo real. la realidad aumentada es diferente de la realidad virtual: en la realidad aumentada el usuario percibe una mezcla de las dos realidades (real y virtual",book1,augmented reality
redes inteligentes,"Es aquella que puede integrar de forma eficiente el comportamiento y las acciones de todos los usuarios conectados a ella, de tal forma que se asegure un sistema energé tico sostenible y eficiente, con bajas pérdidas y altos niveles de calidad y seguridad de suministro",book1,intelligent networks
analítica predictiva,"Es una forma de análisis avanzado, que utiliza datos nuevos e históricos para predecir la actividad futura, comportamientos y las tendencias",book1,predictive analytics
data lake o lago de datos,"Un data lake es un repositorio de almacenamiento que contiene gran cantidad de datos en bruto (estructurados, semi-estructurados y desestructurados)",book1,data lake or data lake
detección de anomalías,"Es una tarea de vital importancia en muchos sectores, como pueden ser la seguridad, finanzas o la salud; y consiste en identificar cuándo ocurre un suceso o evento que no es habitual, con el fin de realizar una acción asociada",book1,anomaly detection
key performance indicator,"También conocido como ""indicador clave"", ""medidor de desempeño"" o ""indicador clave de rendimiento"", es una medida del nivel del rendimiento de un proceso o producto concreto.",book1,key performance indicator
logs de navegación,Los logs son aquellos archivos que contienen el registro de toda la información refe rente la navegación del usuario,book1,navigation logs
microsegmentación,"La microsegmentación es una técnica que co nsiste en dividir al público objetivo de un producto o servicio en partes lo más pequeñas posibles, partes casi únicas; es decir, en segmentos realmente muy, muy pequeños",book1,microsegmentation
motor de recomendación,"Producto de la tecnología y de la necesidad de personalización de la oferta, nacen los ""motores de r ecomendación""",book1,recommendation motor
algoritmo,"Conjunto de reglas que, aplicada sistemáticamente a unos datos de entrada apropiados, resuelven un problema en un numero finito de pasos elementales",book1,algorithm
red neuronal convolucional,Es un tipo de red neuronal artificial donde las neuronas corresponden a campos receptivos de una manera muy similar a las neuronas en la corteza visual primaria de un cerebro biológico,book1,convolutional neural network
procesamiento del lenguaje natural,"Es un campo de las ciencias de la computación, inteligencia artificial y lingüística que estudia las interaccion es entre los computadores y el lenguaje humano",book1,natural language processing
variable numérica,"Es una magnitud cuantificable que puede tomar distintos valores numéricos dentro de un conjunto de números especificado (por ejemplo, números naturales, como: 1,2,3, entre otros.)",book1,numerical variable
gobierno del dato,"Son estructuras y metodologías para gestionar la información, que tienen por objeto asegurarse de que los datos son siempre fiables y válidos en cada contexto empresarial, que su calidad se mantiene a lo largo del tiempo y que existen mecanismos de control sobre quién puede hacer qué con los datos en cada momento. para lograr estos objetivos es necesario establecer un conjunto de estándares, procesos y políticas que rijan el desarrollo y la utilización de los datos a nivel corporativo.",book1,data government
data wrangling,"Es un proceso, que consiste en el correcto almacenamiento de los datos, su procesamiento y la preparación de los mismos para las consultas, hecho que permite disponer los datos con la mejor calidad y accesibilidad para su análisis",book1,data wrangling
aprendizaje automático,"El aprendizaje automático (del inglés: machine learning ) es una disciplina científica, procedente de la inteligencia artificial, que estudia cómo los sistemas pueden ser programados para aprender y mejorar con la experiencia, sin intervención humana. para abordar este problema, diariamente surgen nuevos paradigmas que permiten descubrir conocimiento a partir de datos específicos, basándose en sólidos principios estadísticos y computacionales.",book1,automatic learning
nearest neighbor,"Es un algoritmo, que ha sido ampliamente utilizado como una técnica no paramétrica en reconocimiento de patrones, debido a su sencillez y buen desempeño",book1,nearest neighbor
redes neuronales profundas,"Uno de los enfoques que está recibiendo más interés por parte de la comunidad científica hace referencia a las ""neural networks"" . estas redes se inspiran en el sistema nervioso animal, constituido por un sistema de células que colaboran entre sí para prod ucir una respuesta a un estímulo externo. a medida que la topología de estos sistemas se complica, nos acercamos a lo que se conoce como ""deep learning"" , un nuevo concepto marketiniano concebido para denominar a las ""redes neuronales profundas"". la idea ba jo este nuevo paradigma es que, con un gran número de neuronas y muchos niveles de interconexión entre ellas, se pueden mejorar las predicciones en conjuntos de datos complejos.",book1,deep neural networks
test de turing,Es una prueba de la habilidad de una máquina para exhibir un comportamiento inteligente similar al de un ser humano o indistinguible de este,book1,turing test
atributo,"Es una variable del conjunto de datos o data set , incluyendo sus valores concretos",book1,attribute
conjunto de datos,"Es una colección de datos correspondiente a una o varias variables, habitualmente presentados en forma de tabla.",book1,data set
dato no etiquetado,"Es un dato ""no clasificado"", es decir, que no tiene una etiqueta",book1,non labeling data
ejemplo,Es la unión de la instancia con su etiqueta correspondiente,book1,example
etiqueta o dato etiquetado,"Es el valor real concreto de la variable respuesta, obtenido a partir de un hecho sucedido en la realidad",book1,label or data labeling
instancia,Es un conjunto de todos los atributos o variables de un conjunto de datos o data set,book1,instance
kmeans,Es un método que permite crear clusters de datos numéricos,book1,kmeans
métrica,"Es la m edida utilizada para evaluar el desempeño del modelo aprendido como, por ejemplo, la precisión o la cantidad de errores cometidos",book1,metrics
métodos basados en árboles,Los métodos basados en árboles consisten en segmentar el espacio de predictores en varias regiones,book1,tree based methods
modelo o hipótesis,Es la estructura obtenida tras el proceso de aprendizaje y resume un conjunto de datos para predicción o para clasificación,book1,model or hypothesis
regresión lineal,"Es un modelo estadístico que permite predecir el valor de una variable cuantitativa (numérica), como una función l ineal de las variables de entrada o predictores",book1,linear regression
objetivo,Es la métrica que optimiza el algoritmo de aprendizaje,book1,target
regresión logística,"Es un modelo de regresión generalizado, utilizado como método de clasificación binaria, puesto que, en lugar de valores numéricos, éste permite estimar la probabilidad de que ocurra (o no) un evento como función de otras variables",book1,logistic regression
variable,Una variable es una magnitud que puede tomar diferentes valores dentro de un conjunto posible de valores definidos para esa magnitud,book1,variable
variable predictora,Es un atributo o atributos de partida en el estudio,book1,predictor variable
variable respuesta,Es un atributo objetivo del estudio,book1,variable answer
mantenimiento predictivo,"Su principal objetivo es minimizar el tiempo no productivo, a través de la instrumentación y el análisis de los datos, para identificar patrones que indican un fallo inminente. para las cadenas de producc ión, la inactividad produce importantes pérdidas de ingresos. a través de la analítica avanzada, somos capaces de predecir un comportamiento anómalo, adelantándonos a posibles fallos y reduciendo, así, los tiempos de parada y de mantenimiento.",book1,predictive maintenance
predicción de la demanda,"Es una actividad considerada de máxima importancia en el flujo de suministro entre proveedores y clientes. de hecho, es el primer paso para optimizar la cadena de producción. la empresa cliente necesita datos para estimar qué cantidades de producto debe adquirir con el objetivo de atender la demanda de sus consumidores, y el proveedor necesita datos para estimar el tiempo necesario para atender las necesidades requeridas por su cliente en función de sus procesos productivos. esto se consigue mediante el análisis de los datos históricos recogidos en los sistemas de información.",book1,demand prediction
cloud computing,"Es un modelo de servicios de it (informática), que pone a disposición de los usuarios un servicio, bajo demanda, de acceso a una red de ordenadores y servidores ; dentro de un pool compartido de recursos (red, servidores, almacenamiento, aplicaciones y servicios)",book1,cloud computing
infraestructura como servicio,"Consiste en la puesta a disposición, por parte de la empresa oferente, de sus servidores (hardware) para que otras empresas puedan utilizarlos como quieran; a través de un entorno virtualizado, que suele ser internet.",book1,infrastructure as a service
plataforma como servicio,"Supone la puesta a disposición de una plataforma y un entorno big data, a los que el cliente puede acceder por internet y realizar sus propios desarrollos.",book1,platform as a service
software como servicio,"Consiste en la puesta a disposición de aplicaciones software, a través de internet (alojadas en la nube",book1,software as a service
tableau,Es una herramienta de creación de dashboards que ofrece una experiencia de exploración visual altamente interactiva e intuitiva para el negocio,book1,tableau
carto,Es una plataforma online (software as a service o saas) que permite a los usuarios cargar datos y proporciona herramientas para visualizarlos en mapas interactivos,book1,carto
clasificación,"De acuerdo al formato físico de almacenamiento algunos de los medios de almacenamiento m ás utilizados los podemos clasificar en:  magnético: cinta magnética, discos flexibles, discos duros.",book2,classification
bases de datos,"""una base de datos es un conjunto de datos pertenecientes a un mismo contexto y almacenados sistemáticamente para su posterior uso.",book2,databases
bases de datos pre relacionales,"Esta primer generación de bases de datos abarca aproximadamente de 1950 a 1972 y se caracterizaba por almacenar las bases de datos en los primeros sistemas de almacenamiento que se empezaron a utilizar, donde el formato era b ásicamente lo que conocemos ahora como un archivo de texto plano, sin formato.",book2,pre relational databases
bases de datos relacionales,Esta generación abarca aproximadamente de 1972 al 2005 y es donde la información se almacena en forma de tablas que contienen columnas y registros.,book2,relational databases
bases de datos post relacionales,"La generación actual llamada post-relacional, surge aproximadamente en 2005 y persiste hasta la actualidad.",book2,post relational databases
bases de datos distribuidas,Un sistema de bases de datos distribuidas es una colección de múltiples bases de datos relacionados de manera l ógica que se localizan en los nodos de un sistema distribuido.,book2,distributed databases
data center,"Un ""centro de datos"" ó ""datacenter"" (por su nombre mas conocido en inglés) es un lugar físico donde se encuentran los recursos para el procesamiento de la informaci ón (computadoras, equipos, redes, etc.",book2,data center
cómputo en la nube,"El incremento en la cantidad de los datos ha requerido construir dispositivos con mayor cantidad de almacenamiento y procesamiento, por lo cual, un usuario con una computadora de escritorio ya no puede manejar este tipo de informaci ón, así que el siguiente paso es llevar la informaci ón y el procesamiento a servidores que se encuentran en internet ( ó en la "" nube"" como se le denomina comúnmente).",book2,cloud computation
software como servicio,"Conforme la tecnología avanzaba, se logró tener dispositivos con capacidad de almacenamiento cada vez mayor y a un menor precio, por lo que el cómputo en la nube ha evolucionado de acuerdo a estos parámetros.",book2,software as a service
plataforma como servicio,"Posteriormente, no sólo se ofrecieron servicios sino también ambientes completos de trabajo y desarrollo denominados ""plataforma como servicio"" ó ""paas"" (""platform as a service "" por sus siglas en inglés), ejemplos de ellos son ""google app engine"" y ""windows azure"".",book2,platform as a service
infraestructura como servicio,Capítulo 3 – almacenamiento de información                                                              45,book2,infrastructure as a service
virtualización,"En ambientes donde se requiere tener muchas aplicaciones, cada una de ellas con requisitos de software diferente, nos lleva a tener una administraci ón muy complicada en un servidor para poder satisfacer todas las necesidades de cada aplicación, por lo que se empezó a usar la ""virtualización"".",book2,virtualization
arquitecturas de virtualización,"Existen varias formas de tipos de arquitecturas de virtualizaci ón, aunque podríamos clasificarlas básicamente en 2:  virtualización sin un sistema operativo anfitrión.",book2,virtualization architectures
virtualización sin un sistema operativo anfitrión,"En esta técnica (también denominada ""hypervisor"") es una arquitectura donde se instala un software justo encima del hardware, es decir, es un software que controla por completo la computadora y que se encargará de realizar la virtualización de múltiples sistemas operativos.",book2,virtualization without a host operating system
virtualización a partir de un sistema operativo anfitrión,"En esta segunda técnica, se tiene una computadora con algún sistema operativo instalado (denominado ""sistema nativo""), y en él, se instala un software que se encargar á de la virtualizaci ón.",book2,virtualization from an host operating system
microservicios,"Conforme ha pasado el tiempo las aplicaciones de software han crecido en complejidad, trabajando primero en computadoras pequeñas y centralizadas, para posteriormente convertirse en aplicaciones que corren en múltiples computadoras ("" cluster"") y situados en muchos lugares (distribuidas y en la nube).",book2,microservices
contenedores,"El uso de la virtualización ayudó a poder tener en una misma computadora física, varias computadoras virtuales, logrando la ejecuci ón de diferentes sistemas operativos, pero cuando se tiene una gran cantidad de aplicaciones, y cada una de ellas requiere diferentes recursos para su correcto funcionamiento (bases de datos, compiladores, entornos de desarrollo, etc.",book2,containers
control de versiones,"A parte de las requerimientos de cada una de las aplicaciones que se realizan, tambi én existe el problema de las versiones que se van realizando de cada aplicaci ón, ya que constantemente se hacen cambios a los c ódigos (lo que en software se le denomin ó ""beta perpetuo "").",book2,version control
blockchain,"Uno de los problemas que surgen cuando se manejan grandes cantidades de datos, especialmente cuando esos datos son personales ó confidenciales, es la seguridad.",book2,blockchain
dataset,"Según wikipedia, estas son las características de un ""dataset"" (wiki_0006, 2021):  un ""dataset"" es un conjunto de datos que contiene los valores para cada una de las variables, como por ejemplo la altura y el peso de un objeto, que corresponden a cada miembro del conjunto de datos.",book2,dataset
población,Población es un conjunto de elementos similares a los que se les someter á a un análisis estadístico.,book2,population
muestra,"En muchas ocasiones la poblaci ón a analizar puede ser muy grande o muy compleja y tardada de analizar, por lo cual se elige escoger una "" muestra"", la cual es un subconjunto de la poblaci ón y que debe ser "" representativa"" de la poblaci ón.",book2,sample
histogramas,"En el área de estadística se utiliza mucho el histograma, el cual es un gr áfico donde se representa el conjunto de datos a analizar y se representa en forma de barras, donde el tama ño de las barras es proporcional a la cantidad de datos a representar.",book2,histograms
