concepto,descripcion,source,num_tokens
chip de acelerador,"Un acelerador de ia es una clase de acelerador por hardware o sistema informático diseñado para acelerar aplicaciones de inteligencia artificial, especialmente redes neuronales artificiales, visión artificial y aprendizaje automático.",Wiki_SerpAPI,33
acción,"El aprendizaje por refuerzo o aprendizaje reforzado (eninglés: reinforcement learning) es un área del aprendizaje automático (aa) inspirada en la psicología conductista, cuya ocupación es determinar qué acciones debe escoger un agente de software en un entorno dado con el fin de maximizar alguna noción de ""recompensa"" o premio acumulado.",Wiki_SerpAPI,59
agente,"Un agente inteligente es una entidad capaz de percibir su entorno, procesar tales percepciones y responder o actuar en dicho entorno de manera racional, es decir, logrando objetivos, tendiendo a maximizar un resultado esperado y adquiriendo conocimiento con su desempeño.",Wiki_SerpAPI,45
ar,"En estadísticas, econometría y procesamiento de señales, un modelo autorregresivo (ar) es una representación de un tipo de proceso aleatorio; como tal, se puede utilizar para describir ciertos procesos que varían en el tiempo en la naturaleza, la economía, el comportamiento, etc.",Wiki_SerpAPI,51
"attention,",La atención es un método de aprendizaje automático que determina la importancia relativa de cada componente en una secuencia en relación con los otros componentes en esa secuencia.,Wiki_SerpAPI,29
muestreo de atributos,"En aprendizaje de máquina y estadística, selección de característica, también conocida como selección de variable, selección de atributo o selección de subconjunto variable, es el proceso de seleccionar un subconjunto de características pertinentes (variables, predictores) para su uso en construcción de modelos.",Wiki_SerpAPI,50
auc,"Una curva característica de operación del receptor, o curva roc, es una gráfica gráfica que ilustra el rendimiento de un modelo de clasificador binario (también se puede usar para la clasificación de clase múltiple) con valores de umbral variables.",Wiki_SerpAPI,44
codificador automático,Un autoencoder es un tipo de red neuronal artificial utilizada para aprender codificaciones eficientes de datos no etiquetados (aprendizaje no supervisado).,Wiki_SerpAPI,24
automl,Automated machine learning (automl) es el proceso de automatización de las tareas de aplicar el aprendizaje automático a los problemas del mundo real.,Wiki_SerpAPI,26
evaluación del evaluador automático,La puntuación automatizada de ensayos (pae) es el uso de programas informáticos especializados para asignar notas a los ensayos escritos en un ámbito educativo.,Wiki_SerpAPI,27
pérdida auxiliar,La mezcla de expertos (moe) es una técnica de aprendizaje automático en la que se utilizan múltiples redes de expertos (learners) para dividir un espacio de problemas en regiones homogéneas.,Wiki_SerpAPI,35
precisión promedio en k,"Las medidas de evaluación para un sistema de recuperación de información (ir) evalúan qué tan bien un ííndice, un motor de búsqueda o una base de datos devuelve los resultados de una colección de recursos que satisfacen la consulta de un usuario.",Wiki_SerpAPI,46
condición alineada con el eje,"En geometría, la colinealidad es la propiedad según la cual un conjunto de puntos están situados sobre la misma línea recta.",Wiki_SerpAPI,23
propagación inversa,"En el aprendizaje automático, backpropagation es un método de estimación de gradiente comúnmente utilizado para capacitar a una red neuronal para calcular sus actualizaciones de parámetros.",Wiki_SerpAPI,28
bagging,"La agregación de bootstrap, también llamado empacado (de la agregación de arranque) o el bootstrapping, es un meta-algoritmo de conjunto de aprendizaje automático (ml) diseñado para mejorar la estabilidad y la precisión de los algoritmos de clasificación y regresión de ml.",Wiki_SerpAPI,48
lote,La normalización por lotes (también conocida como norma por lotes) es un método utilizado para hacer que el entrenamiento de las redes neuronales artificiales sea más rápida y estable através de la normalización de las entradas de las capas mediante la recentimiento y el reescalado.,Wiki_SerpAPI,48
tamaño del lote,No confundir con hiperparámetro (bayesiano).,Wiki_SerpAPI,8
bert,Las representaciones del codificador bidireccional de transformers (bert) son un modelo de idioma introducido en octubre de 2018 por investigadores de google.,Wiki_SerpAPI,25
sesgo  o término de sesgo,"En estadística y aprendizaje automático, el dilema entre sesgo y varianza describe la relación entre la complejidad de un modelo, la exactitud de sus predicciones y su capacidad para realizar predicciones sobre datos no observados previamente que no se utilizaron para entrenar el modelo.",Wiki_SerpAPI,47
modelo de lenguaje bidireccional,Un modelo de lenguaje es un modelo de lenguaje natural.,Wiki_SerpAPI,11
