concepto,descripcion,concept,source,num_tokens
ablación,Una técnica para evaluar la importancia de una característica o componente al eliminarla temporalmente de un modelo.,ablation,developers.google.com,18
prueba a/b,Una forma estadística de comparar dos (o más) técnicas: A y el B.,a/b testing,developers.google.com,16
chip de acelerador,Una categoría de componentes de hardware especializados diseñados para realizar cálculos clave necesarios para algoritmos de aprendizaje profundo.,accelerator chip,developers.google.com,19
exactitud,El número de predicciones de clasificación correctas divididas por el número total de predicciones.,accuracy,developers.google.com,15
acción,"En el aprendizaje de refuerzo, el mecanismo por el cual el agente pasa entre los estados del medio ambiente.",action,developers.google.com,21
función de activación,Una función que permite a las redes neuronales aprender relaciones no lineales (complejas) entre las características y la etiqueta.,activation function,developers.google.com,22
aprendizaje activo,Un enfoque de entrenamiento en el que el algoritmo elige algunos de los datos de los que aprende.,active learning,developers.google.com,19
adagrad,"Un sofisticado algoritmo de descenso de gradiente que reescala los gradientes de cada parámetro, dando efectivamente a cada parámetro anindependiente de aprendizaje.",adagrad,developers.google.com,24
agente,"En el aprendizaje de refuerzo, la entidad que utiliza una política para maximizar el rendimiento esperado obtenido de la transición entre los estados del medio ambiente.",agent,developers.google.com,28
agrupación aglomerativa,Ver clúster jerárquico.,agglomerative clustering,developers.google.com,4
detección de anomalías,El proceso de identificación de valores atípicos.,anomaly detection,developers.google.com,8
arkansas,Abreviatura de la realidad aumentada.,ar,developers.google.com,6
área bajo la curva de recuperación de precisión,Ver PR AUC (área debajo de la curva de PR).,area under the pr curve,developers.google.com,13
área bajo la curva roc,Ver AUC (área debajo de la curva ROC).,area under the roc curve,developers.google.com,11
inteligencia general artificial,"Un mecanismo no humano que demuestra una amplia gama de resolución de problemas, creatividad y adaptabilidad.",artificial general intelligence,developers.google.com,18
inteligencia artificial,Un programa o modelo no humano que puede resolver tareas sofisticadas.,artificial intelligence,developers.google.com,12
atención,Un mecanismo utilizado en una red neuronal que indica la importancia de una palabra o parte en particular de una palabra.,attention,developers.google.com,22
atributo,Sinónimo de función.,attribute,developers.google.com,4
muestreo de atributos,Una táctica para capacitar un bosque de decisión en el que cada árbol de decisión considera solo un subconjunto aleatorio de posibles características al aprender la condición.,attribute sampling,developers.google.com,28
auc (área debajo de la curva roc),Un número entre 0 y 1 que representa la capacidad de un modelo de clasificación binaria para separar las clases positivas de las clases negativas.,auc (area under the roc curve),developers.google.com,26
realidad aumentada,"Una tecnología que superpone una imagen generada por computadora en la vista de un usuario del mundo real, proporcionando así una vista compuesta.",augmented reality,developers.google.com,25
autoencoder,Un sistema que aprende a extraer la información más importante de la entrada.,autoencoder,developers.google.com,14
evaluación automática,Uso de software para juzgar la calidad de la salida de un modelo.,automatic evaluation,developers.google.com,14
sesgo de automatización,"Cuando un tomador de decisiones humano favorece las recomendaciones hechas por un sistema de toma de decisiones automatizado sobre la información realizada sin automatización, incluso cuando el sistema automatizado de toma de decisiones comete errores.",automation bias,developers.google.com,37
automl,Cualquier proceso automatizado para construir modelos de aprendizaje automático.,automl,developers.google.com,10
evaluación de autórmes,"Autoraters preconstruidos están disponibles, pero los mejores autoraters están ajustados específicamente a la tarea que está evaluando.",autorater evaluation,developers.google.com,19
modelo autorregresivo,Un modelo que infiere una predicción basada en las propias predicciones anteriores.,auto regressive model,developers.google.com,13
pérdida auxiliar,"Una función de pérdida, utilizada junto con la función de pérdida principal de un modelo de red neuronal, eso ayuda a acelerar el entrenamiento durante las primeras iteraciones cuando los pesos se inicializan aleatoriamente.",auxiliary loss,developers.google.com,37
precisión promedio en k,"Una métrica para resumir el rendimiento de un modelo en un solo mensaje que genera resultados clasificados, como una lista numerada de recomendaciones de libros.",average precision at k,developers.google.com,27
condición alineada por eje,"En un árbol de decisión, una condición que involucra solo una característica.",axis aligned condition,developers.google.com,14
backpropagation,El algoritmo que implementa el descenso de gradiente en las redes neuronales.,backpropagation,developers.google.com,13
bagging,Un método para entrenar un conjunto donde cada modelo constituyente entrena en un subconjunto aleatorio de ejemplos de entrenamiento muestreados con reemplazo.,bagging,developers.google.com,23
bolsa de palabras,"Una representación de las palabras en una frase o pasaje, independientemente del orden.",bag of words,developers.google.com,15
base,"Un modelo utilizado como punto de referencia para comparar qué tan bien está funcionando otro modelo (típicamente, uno más complejo).",baseline,developers.google.com,24
lote,El conjunto de ejemplos utilizados en una iteración de entrenamiento.,batch,developers.google.com,11
