Concepto,Descripción
Procesamiento de Lenguaje Natural (NLP),Campo de la inteligencia artificial que se centra en la interacción entre computadoras y lenguaje humano.
Tokenización,División de texto en unidades más pequeñas como palabras o subpalabras.
Lematización,Reducción de palabras a su forma base utilizando reglas lingüísticas.
Stemización,Reducción de palabras a sus raíces eliminando afijos.
Part-of-Speech Tagging,Asignación de etiquetas gramaticales a las palabras en un texto.
Reconocimiento de Entidades Nombradas (NER),"Identificación y clasificación de nombres propios, organizaciones, ubicaciones y otros términos en texto."
Análisis de Sentimientos,"Evaluación del tono emocional en un texto, como positivo, negativo o neutral."
Extracción de Relaciones,Identificación de relaciones entre entidades en un texto.
Traducción Automática,Conversión de texto de un idioma a otro utilizando modelos automáticos.
Resumen Automático,Generación de un resumen breve y coherente a partir de un texto más extenso.
Análisis de Sintaxis,Análisis de la estructura gramatical de una oración.
Modelado de Lenguaje,Construcción de modelos que predicen la probabilidad de secuencias de palabras.
Embedding de Palabras,Representación vectorial de palabras para capturar su significado semántico.
Word2Vec,Modelo para crear representaciones de palabras basadas en su contexto.
GloVe,Algoritmo para generar embeddings de palabras que capturan similitudes semánticas.
FastText,Método para crear embeddings de palabras que combina eficiencia y significado contextual.
Representaciones Contextuales,Representaciones de palabras que tienen en cuenta su contexto en una oración.
BERT,Modelo de lenguaje preentrenado para entender y procesar texto de manera contextual.
GPT,Modelo generativo basado en transformers para creación y comprensión de texto.
Transformer,Arquitectura basada en mecanismos de atención para procesar secuencias de texto.
Redes Neuronales Recurrentes (RNN),Red neuronal diseñada para procesar datos secuenciales como texto.
LSTM,Variante de RNN que utiliza puertas para manejar dependencias a largo plazo.
GRU,Modelo simplificado de LSTM que mantiene información relevante en texto secuencial.
Clasificación de Texto,Asignación de categorías a textos en función de su contenido.
Detección de Spam,Identificación de correos electrónicos no deseados utilizando modelos NLP.
Segmentación de Palabras,"División de texto continuo en palabras individuales, especialmente en idiomas sin espacios claros."
Parsing Dependencial,Análisis de las dependencias gramaticales entre palabras de una oración.
Parsing Constituencial,Descomposición de una oración en sus constituyentes estructurales.
Etiquetado Secuencial,Procesamiento de texto que asigna etiquetas secuenciales a palabras o frases.
Text-to-Speech (TTS),Conversión de texto escrito en voz sintetizada.
Speech-to-Text (STT),Conversión de audio hablado en texto escrito.
Resolución de Anáforas,Detección de qué palabra o frase hace referencia a una entidad anterior en el texto.
Desambiguación Léxica,Determinación del significado correcto de una palabra basada en su contexto.
Generación de Texto,Creación de texto coherente y significativo a partir de un modelo generativo.
Machine Translation,Traducción de texto entre idiomas utilizando técnicas automáticas.
Intent Detection,Identificación de la intención subyacente en frases escritas o habladas.
Named Entity Linking,Vinculación de entidades nombradas con una base de datos o conocimiento externo.
Semantic Role Labeling,Identificación de roles semánticos de palabras o frases dentro de una oración.
Coreferencia,Detección de menciones de la misma entidad en diferentes partes del texto.
Análisis Morfológico,Análisis de las unidades gramaticales mínimas en una palabra.
