Concepto,Descripción
Aprendizaje Supervisado,Tipo de aprendizaje donde el modelo se entrena con datos etiquetados.
Aprendizaje No Supervisado,Método de aprendizaje que encuentra patrones en datos no etiquetados.
Aprendizaje por Refuerzo,Técnica donde un agente aprende a maximizar recompensas en un entorno.
Regresión Lineal,Modelo para predecir una variable continua usando una relación lineal.
Regresión Logística,Modelo utilizado para predecir probabilidades y clasificaciones binarias.
Máquinas de Soporte Vectorial (SVM),Algoritmo que encuentra hiperplanos para separar clases en datos.
K-Nearest Neighbors (KNN),Método basado en la proximidad para clasificar o predecir valores.
Árboles de Decisión,Modelo basado en reglas que divide datos en ramas para clasificaciones o regresiones.
Bosques Aleatorios (Random Forest),Conjunto de árboles de decisión que mejora la precisión al promediar resultados.
XGBoost,Técnica avanzada de boosting para clasificación y regresión con alta precisión.
LightGBM,Algoritmo de boosting optimizado para velocidad y eficiencia.
CatBoost,Método de boosting diseñado para manejar datos categóricos de manera efectiva.
Naive Bayes,Clasificador probabilístico basado en el teorema de Bayes.
Clustering,Técnica para agrupar datos en conjuntos basados en similitud.
K-Means,Método de agrupamiento que divide datos en k grupos según distancias.
DBSCAN,Algoritmo de agrupamiento que identifica regiones densas en datos.
Hierarchical Clustering,Método de agrupamiento que crea una jerarquía de clústeres.
Análisis de Componentes Principales (PCA),Técnica de reducción de dimensionalidad que encuentra las direcciones principales en datos.
T-SNE,Método para reducir dimensionalidad preservando relaciones locales en datos.
UMAP,Técnica para visualizar datos de alta dimensión en espacios más pequeños.
Redes Neuronales Artificiales (ANN),Modelo basado en capas de nodos interconectados para aprendizaje no lineal.
Redes Neuronales Convolucionales (CNN),Tipo de red neuronal diseñada para procesar datos con estructura espacial.
Redes Neuronales Recurrentes (RNN),Red neuronal optimizada para procesar datos secuenciales.
LSTM,Arquitectura de red para manejar dependencias a largo plazo en secuencias.
GRU,Variante de RNN que utiliza puertas para simplificar cálculos y mejorar rendimiento.
Transformers,Modelo basado en atención para procesar texto y secuencias eficientemente.
Regresión Ridge,Método de regresión que incluye penalización para reducir el sobreajuste.
Regresión Lasso,Método que restringe coeficientes de regresión para evitar sobreajuste.
Elastic Net,Modelo que combina regularización L1 y L2 para un mejor ajuste.
Algoritmos Genéticos,Algoritmo inspirado en la evolución natural para optimización de soluciones.
Máquinas de Boltzmann,Modelo probabilístico que captura dependencias entre variables en redes.
Autoencoders,Red diseñada para aprender representaciones comprimidas de datos.
Redes Adversarias Generativas (GAN),Modelo que utiliza dos redes neuronales en competencia para generar datos nuevos.
Bagging,Técnica que combina predicciones de múltiples modelos para reducir varianza.
Boosting,"Método que mejora modelos secuencialmente, corrigiendo errores previos."
Stacking,Ensamblaje que combina predicciones de múltiples modelos de manera jerárquica.
Gradient Boosting,Técnica de boosting basada en gradientes para mejorar precisión.
Regresión de Procesos Gaussianos,Método para modelar distribuciones y relaciones no lineales en datos continuos.
Clustering Fuzzy C-Means,Técnica de agrupamiento que permite pertenencia parcial a múltiples clústeres.
Q-Learning,Algoritmo de refuerzo para aprender políticas óptimas en un entorno discreto.
