,concepts,definitions,source
0,Clasificación,"De acuerdo al formato físico de almacenamiento algunos de los medios de almacenamiento m ás utilizados los podemos clasificar en:  Magnético: Cinta magnética, Discos flexibles, discos duros.",book2
1,Bases de datos,“Una base de datos es un conjunto de datos pertenecientes a un mismo contexto y almacenados sistemáticamente para su posterior uso.,book2
2,Bases de datos Pre-Relacionales,"Esta  primer  generación  de bases  de  datos  abarca  aproximadamente  de  1950  a  1972  y  se caracterizaba por almacenar las bases de datos en los primeros sistemas de almacenamiento que se empezaron a utilizar, donde el formato era b ásicamente lo que conocemos ahora como un archivo de texto  plano,  sin  formato.",book2
3,Bases de datos Relacionales,Esta generación abarca aproximadamente de 1972 al 2005 y es donde la información se almacena en forma de tablas que contienen columnas y registros.,book2
4,Bases de datos Post-Relacionales,"La generación actual llamada Post-Relacional,  surge aproximadamente en 2005 y persiste hasta la actualidad.",book2
5,Bases de datos distribuidas,Un sistema de bases de datos distribuidas es una colección de múltiples bases de datos relacionados de manera l ógica que se localizan en los nodos de un sistema distribuido.,book2
6,Data Center,"Un “Centro de Datos” ó “Datacenter” (por su nombre mas conocido en inglés) es un lugar físico donde se encuentran los recursos para el procesamiento de la informaci ón (computadoras, equipos, redes, etc.",book2
7,Cómputo en la nube,"El incremento en la cantidad de los datos ha requerido construir dispositivos con mayor cantidad de almacenamiento y procesamiento, por lo cual, un usuario con una computadora de escritorio ya no puede manejar este tipo de informaci ón, así que el siguiente paso es llevar la informaci ón y el procesamiento a servidores que se encuentran en Internet ( ó en la “ nube” como se le denomina comúnmente).",book2
8,Software como Servicio,"Conforme la tecnología avanzaba, se logró tener dispositivos con capacidad de almacenamiento cada vez mayor y a un menor precio, por lo que el cómputo en la nube ha evolucionado de acuerdo a estos parámetros.",book2
9,Plataforma como Servicio,"Posteriormente,  no  sólo  se  ofrecieron  servicios  sino  también  ambientes  completos  de  trabajo  y desarrollo denominados “Plataforma como Servicio” ó “PaaS” (“Platform as a Service ” por sus siglas en inglés), ejemplos de ellos son “Google App Engine” y “Windows Azure”.",book2
10,Infraestructura como Servicio,Capítulo 3 – Almacenamiento de Información                                                                                                                           45 ,book2
11,Virtualización,"En ambientes donde se requiere tener muchas aplicaciones, cada una de ellas con requisitos de software diferente, nos lleva a tener una administraci ón muy complicada en un servidor para poder satisfacer todas las necesidades de cada aplicación, por lo que se empezó a usar la “virtualización”.",book2
12,Arquitecturas de Virtualización,"Existen varias formas de tipos de arquitecturas de virtualizaci ón,  aunque podríamos clasificarlas básicamente en 2:  Virtualización sin un sistema operativo anfitrión.",book2
13,Virtualización sin un sistema operativo anfitrión,"En esta técnica (también denominada ""Hypervisor"") es una arquitectura donde se instala un software  justo encima del hardware, es decir, es un software que controla por completo la computadora y que  se encargará de realizar la virtualización de múltiples sistemas operativos.",book2
14,Virtualización a partir de un sistema operativo anfitrión,"En  esta  segunda  técnica,  se  tiene  una  computadora  con  algún  sistema  operativo  instalado (denominado “sistema nativo”), y en él, se instala un software que se encargar á de la virtualizaci ón.",book2
15,Microservicios,"Conforme ha pasado el tiempo  las aplicaciones de software han crecido en complejidad, trabajando primero en computadoras pequeñas y centralizadas, para posteriormente convertirse en aplicaciones que corren en múltiples computadoras (“ cluster”) y situados en muchos lugares (distribuidas y en la nube).",book2
16,Contenedores,"El  uso  de  la  virtualización  ayudó  a  poder  tener  en  una  misma  computadora  física,  varias computadoras virtuales, logrando la ejecuci ón de diferentes sistemas operativos, pero cuando se tiene una gran cantidad de aplicaciones, y cada una de ellas requiere diferentes recursos para su correcto funcionamiento (bases de datos, compiladores, entornos de desarrollo, etc.",book2
17,Control de Versiones,"A parte de las requerimientos de cada una de las aplicaciones que se realizan, tambi én existe el problema de las versiones que se van realizando de cada aplicaci ón, ya que constantemente se hacen cambios a los c ódigos (lo que en software se le denomin ó “Beta Perpetuo ”).",book2
18,Blockchain,"Uno de los problemas que surgen cuando se manejan grandes cantidades de datos, especialmente cuando esos datos son personales ó confidenciales, es la seguridad.",book2
19,Dataset,"Según Wikipedia, estas son las características de un “Dataset” (Wiki_0006, 2021):  Un ""Dataset"" es un conjunto de datos que contiene los valores  para  cada  una  de las variables,  como  por ejemplo la altura y el peso de un objeto, que corresponden a cada miembro del conjunto de datos.",book2
20,Población,Población es un conjunto de elementos similares a los que se les someter á a un análisis estadístico.,book2
