concepto,descripcion,concept,source,num_tokens
ablación,"La ablación (latín: ablatio - eliminación) es la eliminación o destrucción de algo de un objeto por vaporización, astillado, procesos erosivos o por otros medios.",ablation,wikipedia.org,31
prueba a/b,"Las pruebas A/B (también conocidas como pruebas de deseos, pruebas de división o prueba dividida) son un método de investigación de experiencia del usuario.",a/b testing,wikipedia.org,30
funcion de activacion,La función de activación de un nodo en una red neuronal artificial es una función que calcula la salida del nodo basado en las entradas individuales y sus pesos.,activation function,wikipedia.org,30
aprendizaje activo,"El aprendizaje activo es ""un método de aprendizaje en el que los estudiantes participan de manera activa o experimentalmente en el proceso de aprendizaje y donde hay diferentes niveles de aprendizaje activo, dependiendo de la participación de los estudiantes.",active learning,wikipedia.org,42
adagrad,El descenso de gradiente estocástico (a menudo abreviado SGD) es un método aniterativo para optimizar una función objetivo con propiedades de suavidad adecuadas,adagrad,wikipedia.org,25
deteccion de anomalias,"En el análisis de datos, la detección de anomalías (también denominada detección atípica y, a veces, como detección de novedad) generalmente se entiende como la identificación de elementos, eventos u observaciones raros que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal.",anomaly detection,wikipedia.org,61
atención,Atención o enfoque es la concentración de conciencia en algún fenómeno con la exclusión de otros estímulos.,attention,wikipedia.org,18
realidad aumentada,La realidad aumentada (AR) es una experiencia interactiva que combina el contenido 3D del mundo real y generado por computadora.,augmented reality,wikipedia.org,23
autoencoder,Un autoencoder es un tipo de red neuronal artificial utilizada para aprender codificaciones eficientes de datos no etiquetados (aprendizaje no supervisado).,autoencoder,wikipedia.org,24
sesgo de automatización,"El sesgo de automatización es la propensión a los humanos a favorecer las sugerencias de los sistemas automatizados de toma de decisiones e ignorar la información contradictoria hecha sin automatización, incluso si es correcta.",automation bias,wikipedia.org,36
backpropagation,"En el aprendizaje automático, Backpropagation es un método de estimación de gradiente comúnmente utilizado para capacitar a una red neuronal para calcular sus actualizaciones de parámetros.",backpropagation,wikipedia.org,28
bolsa de palabras,"El modelo de la bolsa de palabras (Bow) es un modelo de texto que utiliza una colección desordenada (una ""bolsa"") de palabras.",bag of words,wikipedia.org,29
normalización por lotes,La normalización por lotes (también conocida como norma por lotes) es un método utilizado para hacer que el entrenamiento de las redes neuronales artificiales sea más rápida y estable a través de la normalización de las entradas de las capas mediante la recentimiento y el reescalado.,batch normalization,wikipedia.org,49
red neuronal bayesiana,"En el aprendizaje automático, una red neuronal (también red neuronal artificial o red neuronal, ANN o NN abreviada) es un modelo inspirado en la estructura y función de las redes neuronales biológicas en los cerebros de los animales.",bayesian neural network,wikipedia.org,43
optimización bayesiana,"Optimización bayesiana es una estrategia de diseño secuencial para la optimización global de las funciones de caja negra, que no asume ninguna forma funcional.",bayesian optimization,wikipedia.org,26
clasificación binaria,La clasificación binaria es la tarea de clasificar los elementos de un conjunto en uno de los dos grupos (cada uno llamado clase).,binary classification,wikipedia.org,26
caja delantera,"En la geometría, el cuadro delimitador mínimo o el cuadro delimitador más pequeño (también conocido como la caja mínima de encerrado o la caja de encierra más pequeña) para un conjunto de puntos en las dimensiones N es el cuadro con la medida más pequeña (área, volumen o hipervolumen en dimensiones más altas) dentro de los cuales se encuentran todos los puntos.",bounding box,wikipedia.org,69
bulto,Una tienda de cubos es un negocio que permite el juego basado en los precios de las acciones o productos básicos.,bucketing,wikipedia.org,22
datos categóricos,"En estadísticas, una variable categórica (también llamada variable cualitativa) es una variable que puede asumir uno de un número limitado, y generalmente fijo, de valores posibles, asignando a cada individuo u otra unidad de observación a un grupo o categoría nominal particular sobre la base de alguna propiedad cualitativa.",categorical data,wikipedia.org,56
centroide,"En matemáticas y física, el centroide, también conocido como centro geométrico o centro de figura, de una figura plana o figura sólida es la posición media aritmética de todos los puntos de la figura.",centroid,wikipedia.org,38
cadena de indemnización de pensamiento,La ingeniería rápida es el proceso de estructuración o elaboración de un orden para producir el mejor resultado posible a partir de un modelo de inteligencia artificial (IA) generativa.,chain of thought prompting,wikipedia.org,32
