No_Encontrado,Not_Found
chip de acelerador,accelerator chip
acción,action
agente,agent
area bajo la curva de pr,area under the pr curve
area bajo la curva roc,area under the roc curve
atributo,attribute
muestreo de atributos,attribute sampling
auc (área debajo de la curva roc),auc (area under the roc curve)
evaluación automática,automatic evaluation
automl,automl
evaluación de autórmes,autorater evaluation
pérdida auxiliar,auxiliary loss
precisión promedio en k,average precision at k
condición alineada por eje,axis aligned condition
bagging,bagging
base,baseline
lote,batch
inferencia por lotes,batch inference
tamaño por lotes,batch size
bert (representaciones de codificador bidireccional de transformers),bert (bidirectional encoder representations from transformers)
sesgo (ética/equidad),bias (ethics/fairness)
sesgo (matemáticas) o término de sesgo,bias (math) or bias term
modelo de idioma bidireccional,bidirectional language model
condición binaria,binary condition
binning,binning
bleu (evaluación bilingüe),bleu (bilingual evaluation understudy)
bleurt (evaluación bilingüe de los transformadores),bleurt (bilingual evaluation understudy from transformers)
capa de calibración,calibration layer
generación candidata,candidate generation
muestreo candidato,candidate sampling
modelo de idioma causal,causal language model
clúster basado en centroides,centroid based clustering
control,checkpoint
modelo de clasificación,classification model
umbral de clasificación,classification threshold
clasificador,classifier
conjunto de datos desequilibrado de clase,class imbalanced dataset
tpu en la nube,cloud tpu
clustering,clustering
condición,condition
análisis de la circunscripción,constituency parsing
lenguaje contextualizado incrustación,contextualized language embedding
característica continua,continuous feature
filtro convolucional,convolutional filter
operación convolucional,convolutional operation
justicia contrafactual,counterfactual fairness
sesgo de cobertura,coverage bias
función de distribución acumulativa (cdf),cumulative distribution function (cdf)
marco de datos,dataframe
api de conjunto de datos (tf.data),dataset api (tf.data)
conjunto de datos o conjunto de datos,data set or dataset
bosque de decisión,decision forest
umbral de decisión,decision threshold
descifrador,decoder
modelo profundo,deep model
deep q network (dqn),deep q network (dqn)
paridad demográfica,demographic parity
característica densa,dense feature
capa densa,dense layer
red neural convolucional separable en profundidad (sepcnn),depthwise separable convolutional neural network (sepcnn)
etiqueta derivada,derived label
indicación directa,direct prompting
característica discreta,discrete feature
distribución,distribution
dqn,dqn
regularización de abandono,dropout regularization
ejecución ansiosa,eager execution
distancia de la mada de la tierra (emd),earth mover's distance (emd)
notación de einsum,einsum notation
capa de incrustación,embedding layer
vector de incrustación,embedding vector
función de distribución acumulativa empírica (ecdf o edf),empirical cumulative distribution function (ecdf or edf)
minimización del riesgo empírico (erm),empirical risk minimization (erm)
política codiciosa de epsilon,epsilon greedy policy
evals,evals
reproducción de experiencia,experience replay
justicia métrica,fairness metric
falso negativo (fn),false negative (fn)
falso positivo (fp),false positive (fp)
tasa de falsos positivos (fpr),false positive rate (fpr)
característica cruzada,feature cross
importaciones de características,feature importances
conjunto de características,feature set
especificación de características,feature spec
red neural de feedforward (ffn),feedforward neural network (ffn)
few shot learning,few shot learning
pocos indicadores de disparos,few shot prompting
fine tuning,fine tuning
formador de lino,flaxformer
olvídate de la puerta,forget gate
fracción de éxitos,fraction of successes
softmax completo,full softmax
capa totalmente conectada,fully connected layer
transformación de funciones,function transformation
ganancia,gan
modelos de géminis,gemini models
curva de generalización,generalization curve
texto generado,generated text
red de adversaria generativa (gan),generative adversarial network (gan)
ia generativa,generative ai
conjunto de datos dorado,golden dataset
respuesta dorada,golden response
gpt (transformador generado generado),gpt (generative pre trained transformer)
acumulación de gradiente,gradient accumulation
gradiente boosted (decisión) árboles (gbt),gradient boosted (decision) trees (gbt)
recorte de gradiente,gradient clipping
ejecución de gráficos,graph execution
política codiciosa,greedy policy
tierra,groundedness
sesgo de atribución de grupo,group attribution bias
sesgo histórico,historical bias
datos de retención,holdout data
evaluación humana,human evaluation
conjunto de datos desequilibrado,imbalanced dataset
imputación,imputation
incompatibilidad de las métricas de equidad,incompatibility of fairness metrics
en el aprendizaje con contexto,in context learning
distribuido independiente e idénticamente (i.i.d),independently and identically distributed (i.i.d)
justicia individual,individual fairness
ruta de inferencia,inference path
en el sesgo grupal,in group bias
generador de entrada,input generator
capa de entrada,input layer
en condición establecida,in set condition
acuerdo de inter rater,inter-rater reliability
intersección sobre la unión (iou),intersection over union (iou)
máquinas de vectores de soporte de kernel (ksvms),kernel support vector machines (ksvms)
punto clave,keypoints
k fold validación cruzada,k fold cross validation
k mediana,k median
l0 regularización,l0 regularization
l1 regularización,l1 regularization
ejemplo etiquetado,labeled example
fuga de etiqueta,label leakage
lamda (modelo de idioma para aplicaciones de diálogo),lamda (language model for dialogue applications)
api de capas (tf.lapas),layers api (tf.layers)
herramienta de interpretabilidad de aprendizaje (encendido),learning interpretability tool (lit)
llm,llm
evaluaciones de llm (evals),llm evaluations (evals)
logits,logits
memoria a corto plazo (lstm),long short term memory (lstm)
agregador de pérdidas,loss aggregator
curva de pérdida,loss curve
superficie de pérdida,loss surface
adaptabilidad de bajo rango (lora),low rank adaptability (lora)
lstm,lstm
clase mayoritaria,majority class
proceso de decisión de markov (mdp),markov decision process (mdp)
modelo de lenguaje enmascarado,masked language model
error absoluto medio (mae),mean absolute error (mae)
precisión promedio media en k (map@k),mean average precision at k (map@k)
error cuadrado medio (mse),mean squared error (mse)
malla,mesh
api de métricas (tf.metrics),metrics api (tf.metrics)
mini lote,mini batch
mini descenso de gradiente estocástico de lotes,mini batch stochastic gradient descent
pérdida de minax,minimax loss
clase minoritaria,minority class
ml,ml
mnista,mnist
capacidad modelo,model capacity
paralelismo modelo,model parallelism
enrutador modelo,model router
monte,mt
clasificación de múltiples clases,multi class classification
regresión logística de múltiples clases,multi class logistic regression
atención a sí mismo de múltiples cabeza,multi head self attention
instrucción multimodal sintonizada,multimodal instruction tuned
clasificación multinomial,multinomial classification
trampa nan,nan trap
clase negativa,negative class
muestreo negativo,negative sampling
búsqueda de arquitectura neural (nas),neural architecture search (nas)
pnlp,nlp
nlu,nlu
nodo (árbol de decisión),node (decision tree)
nodo (red neuronal),node (neural network)
nodo (gráfico tensorflow),node (tensorflow graph)
condición no binaria,non binary condition
sesgo sin respuesta,non response bias
no estacionaridad,nonstationarity
ninguna respuesta correcta (nora),no one right answer (nora)
nora,nora
condición oblicua,oblique condition
inferencia fuera de línea,offline inference
aprendizaje de un tiro,one shot learning
un tiro de inicio,one shot prompting
uno contra todo,one vs. all
en línea,online
inferencia en línea,online inference
operación (op),operation (op)
optax,optax
sesgo de homogeneidad grupal,out group homogeneity bias
evaluación de la bolsa (evaluación oob),out of bag evaluation (oob evaluation)
capa de salida,output layer
datos empacados,packed data
ajuste eficiente de los parámetros,parameter efficient tuning
servidor de parámetros (ps),parameter server (ps)
actualización de parámetros,parameter update
estrategia de partición,partitioning strategy
pase en k (pase@k),pass at k (pass@k)
importaciones variables de permutación,permutation variable importances
segmentación,pipelining
pjit,pjit
pmap,pmap
pooling,pooling
codificación posicional,positional encoding
clase positiva,positive class
procesamiento post,post processing
área bajo la curva de recuperación de precisión,pr auc (area under the pr curve)
precisión en k (precision@k),precision at k (precision@k)
curva de recuerdo de precisión,precision recall curve
sesgo de predicción,prediction bias
ml predictivo,predictive ml
paridad predictiva,predictive parity
paridad de tasa predictiva,predictive rate parity
modelo pre -entrenado,pre trained model
previo al entrenamiento,pre training
creencia previa,prior belief
modelo de regresión probabilística,probabilistic regression model
aprendizaje basado en el aviso,prompt based learning
diseño rápido,prompt design
ajuste rápido,prompt tuning
etiquetas proxy,proxy labels
bulto de cuantil,quantile bucketing
cuantificación,quantization
política aleatoria,random policy
rango (ordinalidad),rank (ordinality)
rango (tensor),rank (tensor)
recall,recall
recuerde en k (recordar@k),recall at k (recall@k)
unidad lineal rectificada (relu),rectified linear unit (relu)
texto de referencia,reference text
tasa de regularización,regularization rate
aprendizaje de refuerzo (rl),reinforcement learning (rl)
aprendizaje de refuerzo de la retroalimentación humana (rlhf),reinforcement learning from human feedback (rlhf)
búfer de reproducción,replay buffer
representación,representation
recuperación de generación aumentada (trapo),retrieval augmented generation (rag)
regularización de la cresta,ridge regularization
rnn,rnn
curva roc (característica operativa del receptor),roc (receiver operating characteristic) curve
asignación de roles,role prompting
error cuadrado medio de raíz (rmse),root mean squared error (rmse)
rouge (suplente orientado al recuerdo para la evaluación de la protección),rouge (recall oriented understudy for gisting evaluation)
rouge l,rouge l
rouge n,rouge n
rouge s,rouge s
modelo saved,savedmodel
scikit learn,scikit learn
tanteo,scoring
