Concepto,Descripción
Big Data,Conjunto de datos que son demasiado grandes o complejos para ser procesados por métodos tradicionales.
Hadoop,Framework de código abierto para el almacenamiento y procesamiento distribuido de grandes volúmenes de datos.
Apache Spark,Herramienta de procesamiento de datos rápida y generalizada para Big Data.
MapReduce,Modelo de programación para el procesamiento distribuido de grandes conjuntos de datos.
HDFS,Sistema de archivos distribuido diseñado para ejecutarse en hardware de bajo costo.
NoSQL,Base de datos diseñada para manejar grandes volúmenes de datos no estructurados o semiestructurados.
bases de datos distribuidas,Bases de datos que permiten el almacenamiento y acceso a datos a través de múltiples nodos.
MongoDB,Base de datos NoSQL diseñada para manejar datos JSON y consultas dinámicas.
Cassandra,Base de datos distribuida y escalable para el almacenamiento de grandes volúmenes de datos.
Apache Hive,Sistema de almacenamiento de datos para Hadoop que permite consultas tipo SQL.
Pig Latin,"Lenguaje de programación para la plataforma Apache Pig, usado en Big Data."
streaming de datos,Transmisión continua de datos generados en tiempo real desde múltiples fuentes.
procesamiento en batch,"Procesamiento de datos agrupados en bloques, adecuado para operaciones periódicas."
procesamiento en tiempo real,Procesamiento de datos en tiempo real con latencias mínimas.
data lake,Repositorio centralizado que almacena datos estructurados y no estructurados a gran escala.
data warehouse,Sistema optimizado para consultas rápidas en datos estructurados almacenados a gran escala.
Apache Kafka,Plataforma para la transmisión y procesamiento en tiempo real de flujos de datos distribuidos.
Flink,Sistema de procesamiento de datos en tiempo real con alta escalabilidad y flexibilidad.
ElasticSearch,Herramienta para búsqueda y análisis de datos basada en índices.
indexación de datos,Proceso de organizar datos para permitir búsquedas rápidas y eficaces.
machine learning en Big Data,Aplicación de algoritmos de aprendizaje automático en grandes volúmenes de datos.
Scala,Lenguaje de programación ampliamente utilizado para trabajar con sistemas Big Data como Apache Spark.
Python en Big Data,Lenguaje popular utilizado en Big Data para manipulación y análisis de datos.
ETL en Big Data,"Proceso de extracción, transformación y carga de datos en entornos Big Data."
orquestación de datos,Coordinación de tareas y flujos de datos en sistemas distribuidos.
AWS Big Data,Servicios en la nube de Amazon diseñados para procesamiento y análisis de Big Data.
Google BigQuery,Plataforma de análisis de datos de Google para consultas rápidas en grandes volúmenes de datos.
Azure Data Lake,Servicio de Microsoft para el almacenamiento y análisis de datos no estructurados.
Almacenamiento en nube,Uso de almacenamiento remoto para datos accesibles desde cualquier lugar con escalabilidad.
escalabilidad horizontal,Ampliación de recursos de un sistema agregando más nodos en lugar de aumentar la capacidad de un nodo.
redundancia de datos,Copia de seguridad de datos para prevenir la pérdida en caso de fallas.
alta disponibilidad,Capacidad de un sistema para estar operativo incluso en presencia de fallos de hardware o software.
Zookeeper,Servicio de coordinación central para sistemas distribuidos.
infraestructura distribuida,Infraestructura diseñada para manejar el procesamiento y almacenamiento de datos en múltiples nodos.
Spark SQL,Componente de Spark para consultas estructuradas y análisis de datos.
DataFrames en Spark,Estructura de datos en Spark optimizada para análisis de datos tabulares.
RDDs,"Resilient Distributed Datasets, la unidad básica de datos en Spark."
clúster de procesamiento,Conjunto de computadoras interconectadas para procesar y almacenar datos distribuidos.
latencia en Big Data,Tiempo necesario para procesar una solicitud o consulta en un sistema Big Data.
análisis exploratorio en Big Data,Proceso de explorar y visualizar datos a gran escala para entender patrones y tendencias.
