concepto,descripcion
condición de rescisión,"Un contrato (antiguamente «contracto», este del latín contractus)​ es un acuerdo legal, oral o escrito, manifestado en común entre dos o más personas (partes del contrato) con capacidad jurídica, que se vinculan en virtud del mismo, regulando sus relaciones a una determinada finalidad o cosa, y a cuyo cumplimiento se puedan obligar de manera recíproca, si el contrato es bilateral, u obligar una parte a la otra, si el contrato es unilateral.​​"
pérdida de prueba,"El criterio de información de Akaike (AIC) es una medida de la calidad relativa de un modelo estadístico, para un conjunto dado de datos. Como tal, el AIC proporciona un medio para la selección del modelo."
intervalo de texto,"En estadística, se llama intervalo de confianza a un intervalo dentro del cual se estima, con un determinado nivel de confianza, que estará el valor de cierto parámetro poblacional desconocido. Formalmente, los extremos del intervalo, se calculan a partir de los datos de una muestra correspondiente a un estimador del parámetro poblacional.​ El nivel de confianza representa el porcentaje de intervalos que tomados de 100 muestras independientes distintas contienen en realidad el valor desconocido. En estas circunstancias, α{displaystyle alpha } es el llamado error aleatorio o nivel de significancia, esto es, el número de intervalos sobre 100 que no contienen el valor.​"
tf.example,"En la recuperación de la información, TF -IIDF (también TF*IDF, TFIDF, TF -IDF o TF -IDF), con el hecho de que la frecuencia de documento de la frecuencia a término -inverso, es una medida de importancia de una palabra para un documento en una colección o corpus, ajustado por el hecho de que algunas palabras parecen con mayor frecuencia en general. Al igual que el modelo de la bolsa de palabras, modela un documento como un multiset de palabras, sin orden de palabras. Es un refinamiento sobre el modelo simple de la bolsa de palabras, al permitir que el peso de las palabras dependa del resto del corpus."
tf.keras,"Keras es una biblioteca de Redes Neuronales de Código abierto escrita en Python.Es capaz de ejecutarse sobre TensorFlow, Microsoft Cognitive Toolkit o Theano.​"
umbral,"Los métodos del valor umbral son un grupo de algoritmos cuya finalidad es segmentar gráficos rasterizados, es decir, separar los objetos de una imagen que nos interesen del resto. Con la ayuda de los métodos de valor umbral en las situaciones más sencillas se puede decidir qué píxeles conforman los objetos que buscamos y qué píxeles son sólo el entorno de estos objetos. Este método es especialmente útil para separar el texto de un documento del fondo de la imagen (papel amarillento, con manchas y arruguitas por ejemplo) y así poder llevar a cabo el reconocimiento óptico de texto (OCR) con más garantías de obtener el texto correcto. Esto es especialmente útil si queremos digitalizar libros antiguos, en los que el contraste entre el texto (que ya ha perdido parte de sus pigmentos) y el papel (oscurecido y manoseado) no es demasiado elevado."
paso de tiempo,Un modelo probabilístico o estadístico es la forma que pueden tomar un conjunto de datos obtenidos de muestreos de otros datos con comportamiento que se supone aleatorio.
token,"Token Ring es una arquitectura de red desarrollada por IBM en los años 1970 con topología lógica en anillo y técnica de acceso de paso de testigo, usando una trama de 3 bytes llamado testigo (en inglés token) que viaja alrededor del anillo. Token Ring queda definido en el estándar IEEE 802.5. En desuso por la popularización de Ethernet; actualmente no es empleada en diseños de redes."
precisión top-k,"Las medidas de evaluación para un sistema de recuperación de información (IR) evalúan qué tan bien un índice, un motor de búsqueda o una base de datos devuelve los resultados de una colección de recursos que satisfacen la consulta de un usuario. Por lo tanto, son fundamentales para el éxito de los sistemas de información y las plataformas digitales."
tpu,"La Unidad de Procesamiento Tensor (TPU) es un circuito integrado específico de aplicación de acelerador de IA (ASIC) desarrollado por Google para el aprendizaje automático de redes neuronales, utilizando el software TensorFlow propio de Google. Google comenzó a usar las TPU internamente en 2015, y en 2018 los puso a disposición para el uso de terceros, tanto como parte de su infraestructura en la nube como al ofrecer una versión más pequeña del chip a la venta."
